name,skill_id,count,expectation,estimated_weight
Critical UP [L]: at 30%,30000398,225,0.130435,2104.7708138447147
SP Skill UP [S]: on AC Success,30000154,202,0.117101,1889.6164639850326
Skill Rate+ [S],30000004,111,0.064348,1038.353601496726
Voltage UP [L]: on AC Success,30000150,95,0.055072,888.6810102899906
Critical UP [S]: at 30% / All,30000419,83,0.048116,776.4265668849392
Voltage Gain [SP]: at Song Start,30000523,68,0.039420,636.1085126286249
Voltage UP [S]: on AC Success / All,30000171,33,0.019130,308.6997193638915
Voltage Gain [MAX]: at Song Start,30000522,19,0.011014,177.73620205799813
Critical UP [M]: at 30% / Buddy,30000409,17,0.009855,159.02712815715623
Combo Count UP [S]: at Song Start,30000236,15,0.008696,140.3180542563143
Critical UP [M]: at 30% / Same Year,30000429,15,0.008696,140.3180542563143
Combo Count UP [S]: at 30%,30000390,14,0.008116,130.96351730589336
Critical UP [M]: at 30% / Same School,30000449,13,0.007536,121.6089803554724
Critical UP [M]: at 30% / Type,30000469,13,0.007536,121.6089803554724
Combo Count UP [S]: at 80% Remaining,30000295,13,0.007536,121.6089803554724
Combo Count UP [S]: on AC Success,30000144,12,0.006957,112.25444340505145
Critical+ [S]: Same School,30000022,10,0.005797,93.54536950420953
Voltage UP [M]: on AC Success / Type,30000221,9,0.005217,84.1908325537886
Critical+ [M]: Same Strategy,30000508,9,0.005217,84.1908325537886
Critical UP [M]: at 30% / Same Strategy,30000459,9,0.005217,84.1908325537886
Voltage UP [M]: on AC Success / Same Attribute,30000231,8,0.004638,74.83629560336763
Appeal+ [M]: Buddy,30000482,8,0.004638,74.83629560336763
Voltage UP [M]: on AC Success / Same School,30000201,7,0.004058,65.48175865294668
Critical+ [S]: Same Strategy,30000027,7,0.004058,65.48175865294668
Appeal+ [M]: Type,30000512,7,0.004058,65.48175865294668
Voltage UP [M]: on AC Success / Buddy,30000161,7,0.004058,65.48175865294668
Skill Rate+ [S]: All,30000490,6,0.003478,56.12722170252572
Critical UP [M]: at 30% / Same Attribute,30000479,5,0.002899,46.772684752104766
Critical+ [S]: Same Year,30000012,5,0.002899,46.772684752104766
Skill Rate+ [S]: Type,30000034,5,0.002899,46.772684752104766
Voltage UP [M]: on AC Success / Same Year,30000181,5,0.002899,46.772684752104766
Skill Rate+ [S]: Same Strategy,30000029,4,0.002319,37.418147801683816
Critical+ [M]: Buddy,30000483,3,0.001739,28.06361085126286
Appeal+ [S]: Same School,30000021,3,0.001739,28.06361085126286
Skill Rate+ [M]: Same Attribute,30000520,2,0.001159,18.709073900841908
Voltage UP [M]: on AC Success / Same Strategy,30000211,2,0.001159,18.709073900841908
