name,skill_id,count,expectation,estimated_weight
Appeal+ [S],30000001,115,0.068904,1066.7903525046381
Voltage UP [L]: at 30%,30000396,106,0.063511,983.3024118738404
Voltage UP [L]: on AC Success,30000150,96,0.057519,890.5380333951763
Skill Rate+ [S],30000004,92,0.055123,853.4322820037106
Voltage Gain [SP]: at Song Start,30000523,81,0.048532,751.39146567718
SP Skill UP [S]: at 30%,30000400,69,0.041342,640.074211502783
Appeal UP [L]: at 30%,30000395,59,0.035351,547.3098330241188
Appeal UP [L]: on AC Success,30000149,51,0.030557,473.0983302411874
Voltage UP [S]: at 30% / All,30000417,42,0.025165,389.6103896103896
Voltage UP [S]: on AC Success / All,30000171,36,0.021570,333.95176252319106
Voltage Gain [MAX]: at Song Start,30000522,24,0.014380,222.63450834879407
Appeal UP [S]: at 30% / All,30000416,22,0.013182,204.0816326530612
Appeal UP [S]: on AC Success / All,30000170,21,0.012582,194.8051948051948
Skill Rate+ [M]: Same Attribute,30000520,12,0.007190,111.31725417439704
Voltage UP [M]: at 30% / Same School,30000447,10,0.005992,92.7643784786642
Appeal UP [M]: on AC Success / Same School,30000200,10,0.005992,92.7643784786642
Appeal+ [M]: Same Strategy,30000507,10,0.005992,92.7643784786642
Appeal UP [M]: at 30% / Same Attribute,30000476,10,0.005992,92.7643784786642
Appeal UP [M]: on AC Success / Same Attribute,30000230,9,0.005392,83.48794063079777
Appeal+ [M]: Type,30000512,9,0.005392,83.48794063079777
Skill Rate+ [S]: Type,30000034,9,0.005392,83.48794063079777
Voltage UP [M]: on AC Success / Same School,30000201,9,0.005392,83.48794063079777
Appeal UP [M]: at 30% / Type,30000466,8,0.004793,74.21150278293136
Appeal UP [M]: on AC Success / Same Year,30000180,8,0.004793,74.21150278293136
Appeal UP [M]: at 30% / Same Year,30000426,8,0.004793,74.21150278293136
Skill Rate+ [S]: All,30000490,8,0.004793,74.21150278293136
Appeal UP [M]: at 30% / Buddy,30000406,7,0.004194,64.93506493506494
Appeal+ [S]: Type,30000031,7,0.004194,64.93506493506494
Voltage UP [M]: on AC Success / Buddy,30000161,7,0.004194,64.93506493506494
Critical+ [M]: Buddy,30000483,7,0.004194,64.93506493506494
Voltage UP [M]: on AC Success / Same Strategy,30000211,7,0.004194,64.93506493506494
Appeal+ [L],30000041,7,0.004194,64.93506493506494
Appeal UP [M]: at 30% / Same School,30000446,7,0.004194,64.93506493506494
Appeal+ [M]: Same Year,30000492,7,0.004194,64.93506493506494
Appeal+ [S]: Same Year,30000011,7,0.004194,64.93506493506494
Voltage UP [M]: on AC Success / Same Attribute,30000231,6,0.003595,55.65862708719852
Appeal UP [M]: on AC Success / Type,30000220,6,0.003595,55.65862708719852
Appeal+ [M]: Same School,30000502,6,0.003595,55.65862708719852
Appeal+ [M]: Same Attribute,30000517,6,0.003595,55.65862708719852
Appeal UP [M]: at 30% / Same Strategy,30000456,5,0.002996,46.3821892393321
Appeal UP [M]: on AC Success / Same Strategy,30000210,5,0.002996,46.3821892393321
Appeal UP [M]: on AC Success / Buddy,30000160,5,0.002996,46.3821892393321
Voltage UP [M]: on AC Success / Type,30000221,5,0.002996,46.3821892393321
Voltage UP [M]: at 30% / Same Year,30000427,4,0.002397,37.10575139146568
Critical+ [S]: Same Year,30000012,4,0.002397,37.10575139146568
Voltage UP [M]: at 30% / Same Strategy,30000457,4,0.002397,37.10575139146568
Voltage UP [M]: at 30% / Type,30000467,4,0.002397,37.10575139146568
Voltage UP [M]: at 30% / Buddy,30000407,4,0.002397,37.10575139146568
Appeal+ [S]: Same Attribute,30000036,4,0.002397,37.10575139146568
Appeal+ [S]: Same Strategy,30000026,3,0.001797,27.82931354359926
Appeal+ [S]: Same School,30000021,3,0.001797,27.82931354359926
Voltage UP [M]: at 30% / Same Attribute,30000477,3,0.001797,27.82931354359926
Voltage UP [M]: on AC Success / Same Year,30000181,3,0.001797,27.82931354359926
Critical+ [S]: Same Strategy,30000027,1,0.000599,9.27643784786642
