name,skill_id,count,expectation,estimated_weight
Voltage UP [L]: at 30%,30000396,93,0.063874,1020.8562019758508
Appeal+ [S],30000001,87,0.059753,954.9945115257958
Critical UP [L]: at 30%,30000398,86,0.059066,944.0175631174534
SP Skill UP [S]: on AC Success,30000154,75,0.051511,823.271130625686
Appeal UP [L]: on AC Success,30000149,69,0.047390,757.4094401756312
Appeal UP [L]: at 30%,30000395,62,0.042582,680.5708013172338
SP Skill UP [S]: at 30%,30000400,56,0.038462,614.7091108671789
Voltage Gain [SP]: at Song Start,30000523,51,0.035027,559.8243688254665
Critical UP [S]: at 30% / All,30000419,38,0.026099,417.1240395170143
Voltage UP [S]: at 30% / All,30000417,31,0.021291,340.2854006586169
Voltage Gain [MAX]: at Song Start,30000522,20,0.013736,219.53896816684963
Appeal UP [S]: at 30% / All,30000416,18,0.012363,197.58507135016464
Appeal UP [M]: at 30% / Same School,30000446,13,0.008929,142.70032930845227
Appeal UP [S]: on AC Success / All,30000170,12,0.008242,131.72338090010976
Appeal UP [M]: at 30% / Same Strategy,30000456,10,0.006868,109.76948408342481
Appeal UP [M]: at 30% / Same Year,30000426,9,0.006181,98.79253567508232
Appeal UP [M]: on AC Success / Same School,30000200,9,0.006181,98.79253567508232
Appeal+ [M]: Same School,30000502,9,0.006181,98.79253567508232
Appeal+ [S]: Same Attribute,30000036,8,0.005495,87.81558726673985
Appeal+ [L],30000041,7,0.004808,76.83863885839736
Appeal+ [M]: Buddy,30000482,7,0.004808,76.83863885839736
Voltage UP [M]: at 30% / Same Attribute,30000477,7,0.004808,76.83863885839736
Critical UP [M]: at 30% / Same Strategy,30000459,6,0.004121,65.86169045005488
Critical UP [M]: at 30% / Buddy,30000409,6,0.004121,65.86169045005488
Appeal UP [M]: on AC Success / Buddy,30000160,6,0.004121,65.86169045005488
Appeal+ [M]: Same Attribute,30000517,6,0.004121,65.86169045005488
Appeal UP [M]: on AC Success / Type,30000220,6,0.004121,65.86169045005488
Critical+ [M]: Same Strategy,30000508,6,0.004121,65.86169045005488
Critical UP [M]: at 30% / Same Attribute,30000479,6,0.004121,65.86169045005488
Skill Rate+ [S]: Same Strategy,30000029,5,0.003434,54.88474204171241
Appeal+ [M]: Same Strategy,30000507,5,0.003434,54.88474204171241
Appeal+ [S]: Type,30000031,5,0.003434,54.88474204171241
Appeal UP [M]: on AC Success / Same Attribute,30000230,5,0.003434,54.88474204171241
Appeal UP [M]: at 30% / Buddy,30000406,5,0.003434,54.88474204171241
Appeal UP [M]: on AC Success / Same Strategy,30000210,5,0.003434,54.88474204171241
Voltage UP [M]: at 30% / Buddy,30000407,5,0.003434,54.88474204171241
Appeal+ [M]: Same Year,30000492,5,0.003434,54.88474204171241
Appeal UP [M]: on AC Success / Same Year,30000180,4,0.002747,43.90779363336993
Combo Count UP [S]: at Song Start,30000236,4,0.002747,43.90779363336993
Appeal UP [M]: at 30% / Same Attribute,30000476,4,0.002747,43.90779363336993
Combo Count UP [S]: on AC Success,30000144,4,0.002747,43.90779363336993
Critical UP [M]: at 30% / Type,30000469,4,0.002747,43.90779363336993
Combo Count UP [S]: at 80% Remaining,30000295,4,0.002747,43.90779363336993
Critical UP [M]: at 30% / Same School,30000449,4,0.002747,43.90779363336993
Voltage UP [M]: at 30% / Same Year,30000427,4,0.002747,43.90779363336993
Critical+ [S]: Same School,30000022,4,0.002747,43.90779363336993
Appeal+ [S]: Same Year,30000011,3,0.002060,32.93084522502744
Voltage UP [M]: at 30% / Type,30000467,3,0.002060,32.93084522502744
Voltage UP [M]: at 30% / Same Strategy,30000457,3,0.002060,32.93084522502744
Appeal UP [M]: at 30% / Type,30000466,3,0.002060,32.93084522502744
Appeal+ [S]: Same Strategy,30000026,2,0.001374,21.953896816684964
Voltage UP [M]: at 30% / Same School,30000447,1,0.000687,10.976948408342482
Combo Count UP [S]: at 30%,30000390,1,0.000687,10.976948408342482
