name,skill_id,count,expectation,estimated_weight
Appeal UP [L]: on AC Success,30000149,124,0.081099,1293.0135557872784
SP Skill UP [S]: at 30%,30000400,122,0.079791,1272.1584984358708
Appeal UP [L]: at 30%,30000395,120,0.078483,1251.3034410844632
SP Skill UP [S]: at 80% Remaining,30000305,92,0.060170,959.3326381647549
Appeal UP [L]: at 80% Remaining,30000300,85,0.055592,886.339937434828
Voltage Gain [SP]: at Song Start,30000523,60,0.039241,625.6517205422316
Appeal UP [S]: at 80% Remaining / All,30000321,42,0.027469,437.95620437956205
Appeal UP [S]: at 30% / All,30000416,38,0.024853,396.24608967674664
Appeal UP [S]: on AC Success / All,30000170,31,0.020275,323.2533889468196
Voltage Gain [MAX]: at Song Start,30000522,25,0.016351,260.6882168925965
Appeal UP [M]: on AC Success / Type,30000220,18,0.011772,187.69551616266946
Appeal UP [M]: at 30% / Same Strategy,30000456,13,0.008502,135.55787278415016
Appeal UP [M]: at 80% Remaining / Buddy,30000311,13,0.008502,135.55787278415016
Appeal UP [M]: at 80% Remaining / Same Strategy,30000361,13,0.008502,135.55787278415016
Appeal UP [M]: at 30% / Same School,30000446,13,0.008502,135.55787278415016
Appeal UP [M]: on AC Success / Same Attribute,30000230,12,0.007848,125.1303441084463
Appeal UP [M]: at 80% Remaining / Same Attribute,30000381,11,0.007194,114.70281543274244
Voltage Gain [S]: on AC Success,30000141,11,0.007194,114.70281543274244
Appeal UP [M]: at 80% Remaining / Same School,30000351,10,0.006540,104.27528675703857
Appeal UP [M]: on AC Success / Same Strategy,30000210,10,0.006540,104.27528675703857
Appeal UP [M]: on AC Success / Same Year,30000180,10,0.006540,104.27528675703857
Appeal UP [M]: on AC Success / Buddy,30000160,10,0.006540,104.27528675703857
Appeal UP [M]: at 30% / Same Attribute,30000476,10,0.006540,104.27528675703857
Appeal UP [M]: on AC Success / Same School,30000200,10,0.006540,104.27528675703857
Voltage Gain [S]: at 30%,30000387,9,0.005886,93.84775808133473
Appeal UP [M]: at 30% / Same Year,30000426,9,0.005886,93.84775808133473
Appeal UP [M]: at 30% / Buddy,30000406,9,0.005886,93.84775808133473
Appeal UP [M]: at 30% / Type,30000466,8,0.005232,83.42022940563086
Appeal UP [M]: at 80% Remaining / Same Year,30000331,8,0.005232,83.42022940563086
Appeal UP [M]: at 80% Remaining / Type,30000371,7,0.004578,72.99270072992701
Voltage Gain [S]: at 80% Remaining,30000292,6,0.003924,62.56517205422315
