name,skill_id,count,expectation,estimated_weight
Critical UP [L]: on AC Success,30000152,97,0.067643,1029.723991507431
Appeal+ [S],30000001,87,0.060669,923.5668789808916
Voltage UP [L]: at 30%,30000396,81,0.056485,859.8726114649681
Skill Rate+ [S]: Buddy,30000009,81,0.056485,859.8726114649681
Voltage Gain [SP]: at Song Start,30000523,76,0.052999,806.7940552016985
SP Skill UP [S]: at 30%,30000400,75,0.052301,796.1783439490446
Appeal UP [L]: on AC Success,30000149,61,0.042538,647.5583864118896
Appeal UP [L]: at 30%,30000395,51,0.035565,541.4012738853503
Voltage UP [S]: at 30% / All,30000417,43,0.029986,456.47558386411885
Critical UP [S]: on AC Success / All,30000173,42,0.029289,445.85987261146494
Voltage Gain [MAX]: at Song Start,30000522,20,0.013947,212.31422505307853
Appeal UP [S]: at 30% / All,30000416,17,0.011855,180.46709129511677
Appeal UP [S]: on AC Success / All,30000170,13,0.009066,138.00424628450108
Appeal UP [M]: on AC Success / Same Attribute,30000230,11,0.007671,116.7728237791932
Appeal UP [M]: on AC Success / Buddy,30000160,11,0.007671,116.7728237791932
Appeal UP [M]: on AC Success / Same School,30000200,9,0.006276,95.54140127388534
Appeal+ [S]: Same Year,30000011,8,0.005579,84.92569002123142
Voltage UP [M]: at 30% / Buddy,30000407,8,0.005579,84.92569002123142
Appeal UP [M]: on AC Success / Same Year,30000180,7,0.004881,74.3099787685775
Appeal UP [M]: at 30% / Same Year,30000426,7,0.004881,74.3099787685775
Skill Rate+ [S]: Same School,30000024,7,0.004881,74.3099787685775
Appeal+ [S]: Same Strategy,30000026,7,0.004881,74.3099787685775
Appeal UP [M]: at 30% / Same School,30000446,7,0.004881,74.3099787685775
Skill Rate+ [M]: Buddy,30000485,6,0.004184,63.69426751592357
Appeal UP [M]: at 30% / Same Attribute,30000476,6,0.004184,63.69426751592357
Appeal+ [S]: Type,30000031,6,0.004184,63.69426751592357
Skill Rate+ [M]: Type,30000515,5,0.003487,53.07855626326963
Appeal UP [M]: on AC Success / Same Strategy,30000210,5,0.003487,53.07855626326963
Appeal UP [M]: at 30% / Buddy,30000406,5,0.003487,53.07855626326963
Appeal UP [M]: at 30% / Type,30000466,5,0.003487,53.07855626326963
Appeal UP [M]: on AC Success / Type,30000220,5,0.003487,53.07855626326963
Appeal+ [M]: Same Attribute,30000517,5,0.003487,53.07855626326963
Voltage UP [M]: at 30% / Same Attribute,30000477,5,0.003487,53.07855626326963
Critical UP [M]: on AC Success / Same School,30000203,5,0.003487,53.07855626326963
Appeal+ [L],30000041,5,0.003487,53.07855626326963
Skill Rate+ [S]: Same Attribute,30000039,4,0.002789,42.46284501061571
Appeal+ [S]: Same Attribute,30000036,4,0.002789,42.46284501061571
Voltage UP [M]: at 30% / Same Year,30000427,4,0.002789,42.46284501061571
Voltage UP [M]: at 30% / Same School,30000447,4,0.002789,42.46284501061571
Stamina Recovery [S]: on AC Success,30000142,4,0.002789,42.46284501061571
Stamina Recovery [S]: at 80% Remaining,30000293,4,0.002789,42.46284501061571
Critical UP [M]: on AC Success / Type,30000223,3,0.002092,31.847133757961785
Appeal+ [M]: Same Year,30000492,3,0.002092,31.847133757961785
Skill Rate+ [M]: Same School,30000505,3,0.002092,31.847133757961785
Appeal+ [M]: Same School,30000502,2,0.001395,21.231422505307854
Critical UP [M]: on AC Success / Same Year,30000183,2,0.001395,21.231422505307854
Skill Rate+ [L],30000044,2,0.001395,21.231422505307854
Critical UP [M]: on AC Success / Same Attribute,30000233,2,0.001395,21.231422505307854
Appeal+ [M]: Same Strategy,30000507,2,0.001395,21.231422505307854
Voltage UP [M]: at 30% / Same Strategy,30000457,2,0.001395,21.231422505307854
Skill Rate+ [M]: Same Year,30000495,2,0.001395,21.231422505307854
Appeal UP [M]: at 30% / Same Strategy,30000456,2,0.001395,21.231422505307854
Stamina Recovery [S]: at 30%,30000388,1,0.000697,10.615711252653927
Voltage UP [M]: at 30% / Type,30000467,1,0.000697,10.615711252653927
Critical UP [M]: on AC Success / Buddy,30000163,1,0.000697,10.615711252653927
Critical UP [M]: on AC Success / Same Strategy,30000213,1,0.000697,10.615711252653927
