name,skill_id,count,expectation,estimated_weight
Voltage UP [L]: at 30%,30000396,89,0.061806,961.1231101511879
Critical UP [L]: on AC Success,30000152,88,0.061111,950.3239740820735
Appeal+ [S],30000001,87,0.060417,939.524838012959
Skill Rate+ [S]: Buddy,30000009,86,0.059722,928.7257019438446
Voltage UP [L]: at 80% Remaining,30000301,62,0.043056,669.5464362850972
Critical+ [S]: Buddy,30000007,61,0.042361,658.7473002159827
Voltage Gain [SP]: at Song Start,30000523,58,0.040278,626.3498920086392
Critical+ [S],30000002,58,0.040278,626.3498920086392
Critical UP [S]: on AC Success / All,30000173,42,0.029167,453.5637149028078
Voltage UP [S]: at 30% / All,30000417,28,0.019444,302.3758099352052
Voltage Gain [MAX]: at Song Start,30000522,26,0.018056,280.7775377969762
Voltage UP [S]: at 80% Remaining / All,30000322,25,0.017361,269.97840172786175
Voltage UP [M]: at 80% Remaining / Same School,30000352,10,0.006944,107.9913606911447
Stamina Recovery [S]: at 30%,30000388,8,0.005556,86.39308855291577
Skill Rate+ [M]: Same School,30000505,8,0.005556,86.39308855291577
Skill Rate+ [L],30000044,8,0.005556,86.39308855291577
Critical+ [M]: Same School,30000503,7,0.004861,75.5939524838013
Appeal+ [M]: Same Strategy,30000507,7,0.004861,75.5939524838013
Voltage UP [M]: at 30% / Same Attribute,30000477,7,0.004861,75.5939524838013
Voltage UP [M]: at 80% Remaining / Buddy,30000312,6,0.004167,64.79481641468682
Critical UP [M]: on AC Success / Buddy,30000163,6,0.004167,64.79481641468682
Critical UP [M]: on AC Success / Same School,30000203,6,0.004167,64.79481641468682
Critical UP [M]: on AC Success / Same Strategy,30000213,6,0.004167,64.79481641468682
Skill Rate+ [M]: Type,30000515,6,0.004167,64.79481641468682
Shield Gain [S]: at 80% Remaining,30000294,6,0.004167,64.79481641468682
Appeal+ [L],30000041,6,0.004167,64.79481641468682
Skill Rate+ [S]: Same School,30000024,6,0.004167,64.79481641468682
Critical UP [M]: on AC Success / Same Attribute,30000233,6,0.004167,64.79481641468682
Critical+ [S]: Same Attribute,30000037,5,0.003472,53.99568034557235
Voltage UP [M]: at 80% Remaining / Same Attribute,30000382,5,0.003472,53.99568034557235
Voltage UP [M]: at 80% Remaining / Same Strategy,30000362,5,0.003472,53.99568034557235
Appeal+ [M]: Same Year,30000492,5,0.003472,53.99568034557235
Appeal+ [M]: Same School,30000502,5,0.003472,53.99568034557235
Critical UP [M]: on AC Success / Same Year,30000183,5,0.003472,53.99568034557235
Voltage UP [M]: at 30% / Same School,30000447,5,0.003472,53.99568034557235
Critical UP [M]: on AC Success / Type,30000223,4,0.002778,43.196544276457885
Skill Rate+ [M]: Buddy,30000485,4,0.002778,43.196544276457885
Critical+ [S]: All,30000488,4,0.002778,43.196544276457885
Appeal+ [M]: Same Attribute,30000517,4,0.002778,43.196544276457885
Appeal+ [S]: Same Year,30000011,4,0.002778,43.196544276457885
Shield Gain [S]: on AC Success,30000143,4,0.002778,43.196544276457885
Stamina Recovery [S]: at 80% Remaining,30000293,4,0.002778,43.196544276457885
Voltage UP [M]: at 30% / Type,30000467,4,0.002778,43.196544276457885
Stamina Recovery [S]: on AC Success,30000142,4,0.002778,43.196544276457885
Skill Rate+ [M]: Same Year,30000495,4,0.002778,43.196544276457885
Voltage UP [M]: at 30% / Buddy,30000407,4,0.002778,43.196544276457885
Appeal+ [S]: Same Attribute,30000036,4,0.002778,43.196544276457885
Skill Rate+ [S]: Same Attribute,30000039,3,0.002083,32.39740820734341
Critical+ [M]: Same Year,30000493,3,0.002083,32.39740820734341
Appeal+ [S]: Same Strategy,30000026,3,0.002083,32.39740820734341
Voltage UP [M]: at 30% / Same Strategy,30000457,3,0.002083,32.39740820734341
Voltage UP [M]: at 80% Remaining / Type,30000372,3,0.002083,32.39740820734341
Critical+ [M]: Type,30000513,2,0.001389,21.598272138228943
Critical+ [L],30000042,2,0.001389,21.598272138228943
Voltage UP [M]: at 80% Remaining / Same Year,30000332,2,0.001389,21.598272138228943
Appeal+ [S]: Type,30000031,1,0.000694,10.799136069114471
Voltage UP [M]: at 30% / Same Year,30000427,1,0.000694,10.799136069114471
Shield Gain [S]: at 30%,30000389,1,0.000694,10.799136069114471
