name,skill_id,count,expectation,estimated_weight
Appeal UP [L]: on AC Success,30000149,147,0.086268,1384.180790960452
Appeal UP [L]: at 30%,30000395,136,0.079812,1280.60263653484
SP Skill UP [S]: at 30%,30000400,130,0.076291,1224.105461393597
Appeal UP [L]: at 80% Remaining,30000300,100,0.058685,941.6195856873823
SP Skill UP [S]: at 80% Remaining,30000305,96,0.056338,903.954802259887
Voltage Gain [SP]: at Song Start,30000523,65,0.038146,612.0527306967984
Appeal UP [S]: at 30% / All,30000416,42,0.024648,395.4802259887006
Appeal UP [S]: on AC Success / All,30000170,41,0.024061,386.06403013182677
Appeal UP [S]: at 80% Remaining / All,30000321,40,0.023474,376.6478342749529
Voltage Gain [MAX]: at Song Start,30000522,24,0.014085,225.98870056497174
Appeal UP [M]: on AC Success / Type,30000220,17,0.009977,160.075329566855
Appeal UP [M]: at 30% / Same School,30000446,17,0.009977,160.075329566855
Appeal UP [M]: on AC Success / Same Attribute,30000230,15,0.008803,141.24293785310735
Appeal UP [M]: on AC Success / Same Year,30000180,14,0.008216,131.82674199623352
Voltage Gain [S]: at 80% Remaining,30000292,14,0.008216,131.82674199623352
Voltage Gain [S]: on AC Success,30000141,13,0.007629,122.4105461393597
Appeal UP [M]: at 30% / Same Strategy,30000456,13,0.007629,122.4105461393597
Appeal UP [M]: at 80% Remaining / Same Year,30000331,12,0.007042,112.99435028248587
Appeal UP [M]: at 80% Remaining / Same Strategy,30000361,12,0.007042,112.99435028248587
Appeal UP [M]: on AC Success / Same Strategy,30000210,12,0.007042,112.99435028248587
Appeal UP [M]: on AC Success / Same School,30000200,12,0.007042,112.99435028248587
Appeal UP [M]: at 30% / Same Attribute,30000476,12,0.007042,112.99435028248587
Appeal UP [M]: at 80% Remaining / Same School,30000351,10,0.005869,94.16195856873823
Appeal UP [M]: at 30% / Buddy,30000406,9,0.005282,84.7457627118644
Appeal UP [M]: at 80% Remaining / Type,30000371,9,0.005282,84.7457627118644
Appeal UP [M]: at 80% Remaining / Buddy,30000311,9,0.005282,84.7457627118644
Voltage Gain [S]: at 30%,30000387,9,0.005282,84.7457627118644
Appeal UP [M]: at 30% / Type,30000466,8,0.004695,75.32956685499057
Appeal UP [M]: at 30% / Same Year,30000426,8,0.004695,75.32956685499057
Appeal UP [M]: on AC Success / Buddy,30000160,8,0.004695,75.32956685499057
Appeal UP [M]: at 80% Remaining / Same Attribute,30000381,8,0.004695,75.32956685499057
