name,skill_id,count,expectation,estimated_weight
Appeal+ [S],30000001,96,0.063534,981.5950920245399
Voltage UP [L]: on AC Success,30000150,91,0.060225,930.4703476482617
Skill Rate+ [S],30000004,90,0.059563,920.2453987730061
Voltage UP [L]: at 30%,30000396,79,0.052283,807.7709611451943
SP Skill UP [S]: at 30%,30000400,73,0.048312,746.4212678936605
Voltage Gain [SP]: at Song Start,30000523,68,0.045003,695.2965235173825
Appeal UP [L]: on AC Success,30000149,62,0.041032,633.9468302658487
Appeal UP [L]: at 30%,30000395,56,0.037062,572.597137014315
Voltage UP [S]: on AC Success / All,30000171,40,0.026473,408.997955010225
Voltage UP [S]: at 30% / All,30000417,29,0.019193,296.5235173824131
Voltage Gain [MAX]: at Song Start,30000522,22,0.014560,224.94887525562373
Appeal UP [S]: on AC Success / All,30000170,20,0.013236,204.4989775051125
Appeal UP [S]: at 30% / All,30000416,16,0.010589,163.59918200408998
Appeal UP [M]: at 30% / Buddy,30000406,13,0.008604,132.92433537832312
Appeal+ [S]: Same School,30000021,11,0.007280,112.47443762781187
Appeal+ [M]: Type,30000512,11,0.007280,112.47443762781187
Skill Rate+ [S]: Type,30000034,10,0.006618,102.24948875255625
Appeal UP [M]: at 30% / Type,30000466,9,0.005956,92.02453987730063
Appeal+ [L],30000041,9,0.005956,92.02453987730063
Appeal UP [M]: at 30% / Same Year,30000426,8,0.005295,81.79959100204499
Voltage UP [M]: at 30% / Same School,30000447,8,0.005295,81.79959100204499
Appeal UP [M]: on AC Success / Same Attribute,30000230,8,0.005295,81.79959100204499
Critical+ [S]: Same Year,30000012,8,0.005295,81.79959100204499
Appeal UP [M]: at 30% / Same Strategy,30000456,8,0.005295,81.79959100204499
Appeal+ [S]: Type,30000031,7,0.004633,71.57464212678937
Critical+ [M]: Buddy,30000483,7,0.004633,71.57464212678937
Skill Rate+ [S]: All,30000490,7,0.004633,71.57464212678937
Voltage UP [M]: at 30% / Same Year,30000427,6,0.003971,61.34969325153374
Appeal+ [M]: Same Strategy,30000507,6,0.003971,61.34969325153374
Critical+ [S]: Same Strategy,30000027,6,0.003971,61.34969325153374
Appeal+ [S]: Same Year,30000011,6,0.003971,61.34969325153374
Appeal UP [M]: on AC Success / Same Year,30000180,6,0.003971,61.34969325153374
Appeal+ [M]: Same Attribute,30000517,5,0.003309,51.12474437627812
Appeal UP [M]: on AC Success / Same Strategy,30000210,5,0.003309,51.12474437627812
Voltage UP [M]: on AC Success / Same Strategy,30000211,5,0.003309,51.12474437627812
Voltage UP [M]: on AC Success / Type,30000221,5,0.003309,51.12474437627812
Appeal+ [M]: Same Year,30000492,5,0.003309,51.12474437627812
Voltage UP [M]: at 30% / Type,30000467,5,0.003309,51.12474437627812
Voltage UP [M]: on AC Success / Buddy,30000161,5,0.003309,51.12474437627812
Appeal+ [S]: Same Attribute,30000036,4,0.002647,40.899795501022496
Appeal UP [M]: at 30% / Same School,30000446,4,0.002647,40.899795501022496
Voltage UP [M]: on AC Success / Same Year,30000181,4,0.002647,40.899795501022496
Appeal UP [M]: on AC Success / Type,30000220,4,0.002647,40.899795501022496
Voltage UP [M]: at 30% / Same Strategy,30000457,4,0.002647,40.899795501022496
Appeal UP [M]: at 30% / Same Attribute,30000476,4,0.002647,40.899795501022496
Appeal+ [M]: Same School,30000502,4,0.002647,40.899795501022496
Appeal UP [M]: on AC Success / Same School,30000200,3,0.001985,30.67484662576687
Voltage UP [M]: on AC Success / Same School,30000201,3,0.001985,30.67484662576687
Skill Rate+ [M]: Same Attribute,30000520,3,0.001985,30.67484662576687
Appeal UP [M]: on AC Success / Buddy,30000160,3,0.001985,30.67484662576687
Voltage UP [M]: at 30% / Same Attribute,30000477,2,0.001324,20.449897750511248
Appeal+ [S]: Same Strategy,30000026,2,0.001324,20.449897750511248
Voltage UP [M]: on AC Success / Same Attribute,30000231,2,0.001324,20.449897750511248
Voltage UP [M]: at 30% / Buddy,30000407,1,0.000662,10.224948875255624
