name,skill_id,count,expectation,estimated_weight
Voltage UP [L]: on AC Success,30000150,103,0.069501,1085.3530031612224
Skill Rate+ [S],30000004,92,0.062078,969.4415173867228
Critical UP [L]: at 80% Remaining,30000303,81,0.054656,853.5300316122234
Appeal+ [S]: Buddy,30000006,80,0.053981,842.9926238145416
Critical+ [S],30000002,69,0.046559,727.0811380400421
Voltage UP [L]: at 80% Remaining,30000301,66,0.044534,695.4689146469968
Critical+ [S]: Buddy,30000007,64,0.043185,674.3940990516332
Voltage Gain [SP]: at Song Start,30000523,59,0.039811,621.7070600632244
Critical UP [S]: at 80% Remaining / All,30000324,38,0.025641,400.4214963119072
Voltage UP [S]: on AC Success / All,30000171,30,0.020243,316.12223393045315
Voltage UP [S]: at 80% Remaining / All,30000322,27,0.018219,284.51001053740777
Voltage Gain [MAX]: at Song Start,30000522,22,0.014845,231.82297154899896
Critical+ [M]: Buddy,30000483,14,0.009447,147.52370916754478
Critical UP [M]: at 80% Remaining / Same School,30000354,11,0.007422,115.91148577449948
Critical UP [M]: at 80% Remaining / Type,30000374,10,0.006748,105.3740779768177
Critical UP [M]: at 80% Remaining / Same Year,30000334,9,0.006073,94.83667017913594
Voltage UP [M]: at 80% Remaining / Same School,30000352,9,0.006073,94.83667017913594
Skill Rate+ [M]: Same Strategy,30000510,9,0.006073,94.83667017913594
Voltage UP [M]: on AC Success / Same Attribute,30000231,8,0.005398,84.29926238145416
Critical UP [M]: at 80% Remaining / Same Strategy,30000364,8,0.005398,84.29926238145416
Critical+ [S]: Same Strategy,30000027,8,0.005398,84.29926238145416
Critical+ [S]: Type,30000032,7,0.004723,73.76185458377239
Critical+ [S]: All,30000488,6,0.004049,63.224446786090624
Critical UP [M]: at 80% Remaining / Buddy,30000314,6,0.004049,63.224446786090624
Critical+ [M]: Same Year,30000493,6,0.004049,63.224446786090624
Voltage UP [M]: at 80% Remaining / Same Year,30000332,6,0.004049,63.224446786090624
Critical+ [S]: Same Attribute,30000037,6,0.004049,63.224446786090624
Voltage UP [M]: at 80% Remaining / Buddy,30000312,6,0.004049,63.224446786090624
Critical+ [M]: Same School,30000503,6,0.004049,63.224446786090624
Skill Rate+ [M]: Same Attribute,30000520,6,0.004049,63.224446786090624
Skill Rate+ [S]: Same Year,30000014,6,0.004049,63.224446786090624
Skill Rate+ [S]: Type,30000034,5,0.003374,52.68703898840885
Critical UP [M]: at 80% Remaining / Same Attribute,30000384,5,0.003374,52.68703898840885
Critical+ [S]: Same Year,30000012,5,0.003374,52.68703898840885
Appeal+ [S]: All,30000487,5,0.003374,52.68703898840885
Appeal+ [M]: Type,30000512,5,0.003374,52.68703898840885
Critical+ [M]: Same Attribute,30000518,5,0.003374,52.68703898840885
Skill Rate+ [S]: All,30000490,5,0.003374,52.68703898840885
Voltage UP [M]: on AC Success / Type,30000221,4,0.002699,42.14963119072708
Voltage UP [M]: at 80% Remaining / Same Attribute,30000382,4,0.002699,42.14963119072708
Shield Gain [S]: at 80% Remaining,30000294,4,0.002699,42.14963119072708
Voltage UP [M]: at 80% Remaining / Type,30000372,4,0.002699,42.14963119072708
Shield Gain [S]: on AC Success,30000143,4,0.002699,42.14963119072708
Critical+ [L],30000042,3,0.002024,31.612223393045312
Appeal+ [S]: Same School,30000021,3,0.002024,31.612223393045312
Critical+ [M]: Type,30000513,3,0.002024,31.612223393045312
Voltage UP [M]: at 80% Remaining / Same Strategy,30000362,2,0.001350,21.07481559536354
Voltage UP [M]: on AC Success / Same Year,30000181,2,0.001350,21.07481559536354
Voltage UP [M]: on AC Success / Same School,30000201,1,0.000675,10.53740779768177
Voltage UP [M]: on AC Success / Same Strategy,30000211,1,0.000675,10.53740779768177
Shield Gain [S]: at 30%,30000389,1,0.000675,10.53740779768177
