name,skill_id,count,expectation,estimated_weight
Appeal+ [S]: Buddy,30000006,102,0.067061,1078.2241014799154
Appeal UP [L]: at 80% Remaining,30000300,100,0.065746,1057.0824524312898
Skill Rate+ [S]: Buddy,30000009,98,0.064431,1035.9408033826637
Critical UP [L]: at 80% Remaining,30000303,91,0.059829,961.9450317124737
SP Skill UP [S]: at 80% Remaining,30000305,81,0.053254,856.2367864693446
Critical UP [L]: on AC Success,30000152,77,0.050625,813.953488372093
Voltage Gain [SP]: at Song Start,30000523,68,0.044707,718.816067653277
Critical UP [S]: at 80% Remaining / All,30000324,41,0.026956,433.40380549682874
Appeal UP [S]: at 80% Remaining / All,30000321,40,0.026298,422.8329809725159
Critical UP [S]: on AC Success / All,30000173,29,0.019066,306.553911205074
Voltage Gain [MAX]: at Song Start,30000522,20,0.013149,211.41649048625794
Voltage Gain [S]: at 30%,30000387,14,0.009204,147.99154334038053
Appeal UP [M]: at 80% Remaining / Type,30000371,10,0.006575,105.70824524312897
Skill Rate+ [M]: Same Strategy,30000510,10,0.006575,105.70824524312897
Critical UP [M]: at 80% Remaining / Same Attribute,30000384,10,0.006575,105.70824524312897
Voltage Gain [S]: on AC Success,30000141,9,0.005917,95.13742071881607
Appeal UP [M]: at 80% Remaining / Same Year,30000331,9,0.005917,95.13742071881607
Voltage Gain [S]: at 80% Remaining,30000292,9,0.005917,95.13742071881607
Critical UP [M]: at 80% Remaining / Type,30000374,9,0.005917,95.13742071881607
Appeal UP [M]: at 80% Remaining / Same Strategy,30000361,7,0.004602,73.99577167019027
Critical UP [M]: at 80% Remaining / Same Strategy,30000364,7,0.004602,73.99577167019027
Critical+ [M]: Same Attribute,30000518,7,0.004602,73.99577167019027
Critical UP [M]: on AC Success / Same Year,30000183,7,0.004602,73.99577167019027
Appeal UP [M]: at 80% Remaining / Same Attribute,30000381,6,0.003945,63.424947145877375
Appeal UP [M]: at 80% Remaining / Same School,30000351,6,0.003945,63.424947145877375
Critical UP [M]: at 80% Remaining / Buddy,30000314,6,0.003945,63.424947145877375
Critical+ [S]: Type,30000032,6,0.003945,63.424947145877375
Critical UP [M]: on AC Success / Same Strategy,30000213,6,0.003945,63.424947145877375
Skill Rate+ [S]: Same Year,30000014,5,0.003287,52.854122621564485
Critical UP [M]: on AC Success / Same Attribute,30000233,5,0.003287,52.854122621564485
Skill Rate+ [M]: Same Year,30000495,5,0.003287,52.854122621564485
Critical UP [M]: at 80% Remaining / Same School,30000354,4,0.002630,42.28329809725159
Critical UP [M]: on AC Success / Buddy,30000163,4,0.002630,42.28329809725159
Critical UP [M]: at 80% Remaining / Same Year,30000334,4,0.002630,42.28329809725159
Appeal UP [M]: at 80% Remaining / Buddy,30000311,4,0.002630,42.28329809725159
Critical UP [M]: on AC Success / Type,30000223,4,0.002630,42.28329809725159
Stamina Recovery [S]: at 30%,30000388,4,0.002630,42.28329809725159
Stamina Recovery [S]: on AC Success,30000142,3,0.001972,31.712473572938688
Critical UP [M]: on AC Success / Same School,30000203,3,0.001972,31.712473572938688
Appeal+ [S]: All,30000487,3,0.001972,31.712473572938688
Skill Rate+ [M]: Same School,30000505,3,0.001972,31.712473572938688
Stamina Recovery [S]: at 80% Remaining,30000293,2,0.001315,21.141649048625794
Skill Rate+ [M]: Buddy,30000485,2,0.001315,21.141649048625794
Skill Rate+ [S]: Same Attribute,30000039,2,0.001315,21.141649048625794
Skill Rate+ [S]: Same School,30000024,2,0.001315,21.141649048625794
Skill Rate+ [M]: Type,30000515,1,0.000657,10.570824524312897
Skill Rate+ [L],30000044,1,0.000657,10.570824524312897
