name,skill_id,count,expectation,estimated_weight
SP Skill UP [S]: at 80% Remaining,30000305,119,0.067922,1133.3333333333333
Voltage UP [L]: on AC Success,30000150,107,0.061073,1019.047619047619
Critical UP [L]: at 80% Remaining,30000303,99,0.056507,942.8571428571429
Appeal UP [L]: at 80% Remaining,30000300,99,0.056507,942.8571428571429
Appeal+ [S]: Buddy,30000006,87,0.049658,828.5714285714286
Skill Rate+ [S],30000004,86,0.049087,819.0476190476192
Voltage Gain [SP]: at Song Start,30000523,61,0.034817,580.952380952381
Appeal UP [S]: at 80% Remaining / All,30000321,51,0.029110,485.7142857142857
Voltage UP [S]: on AC Success / All,30000171,37,0.021119,352.38095238095235
Critical UP [S]: at 80% Remaining / All,30000324,36,0.020548,342.8571428571429
Voltage Gain [MAX]: at Song Start,30000522,31,0.017694,295.23809523809524
Critical+ [M]: Buddy,30000483,15,0.008562,142.85714285714286
Appeal UP [M]: at 80% Remaining / Same Year,30000331,15,0.008562,142.85714285714286
Skill Rate+ [M]: Same Strategy,30000510,12,0.006849,114.28571428571429
Appeal UP [M]: at 80% Remaining / Buddy,30000311,10,0.005708,95.23809523809524
Critical UP [M]: at 80% Remaining / Type,30000374,10,0.005708,95.23809523809524
Appeal UP [M]: at 80% Remaining / Same Strategy,30000361,9,0.005137,85.71428571428572
Voltage Gain [S]: at 80% Remaining,30000292,8,0.004566,76.19047619047619
Critical UP [M]: at 80% Remaining / Same Attribute,30000384,8,0.004566,76.19047619047619
Appeal UP [M]: at 80% Remaining / Same Attribute,30000381,8,0.004566,76.19047619047619
Voltage Gain [S]: at 30%,30000387,8,0.004566,76.19047619047619
Critical+ [M]: Same Attribute,30000518,8,0.004566,76.19047619047619
Appeal+ [S]: All,30000487,8,0.004566,76.19047619047619
Skill Rate+ [S]: All,30000490,8,0.004566,76.19047619047619
Critical UP [M]: at 80% Remaining / Same School,30000354,7,0.003995,66.66666666666667
Voltage UP [M]: on AC Success / Same Attribute,30000231,7,0.003995,66.66666666666667
Critical+ [S]: Type,30000032,7,0.003995,66.66666666666667
Appeal UP [M]: at 80% Remaining / Type,30000371,7,0.003995,66.66666666666667
Voltage UP [M]: on AC Success / Same Year,30000181,7,0.003995,66.66666666666667
Critical UP [M]: at 80% Remaining / Same Year,30000334,7,0.003995,66.66666666666667
Appeal UP [M]: at 80% Remaining / Same School,30000351,6,0.003425,57.142857142857146
Voltage UP [M]: on AC Success / Same Strategy,30000211,6,0.003425,57.142857142857146
Skill Rate+ [S]: Same Year,30000014,6,0.003425,57.142857142857146
Skill Rate+ [M]: Same Attribute,30000520,6,0.003425,57.142857142857146
Critical UP [M]: at 80% Remaining / Same Strategy,30000364,6,0.003425,57.142857142857146
Appeal+ [M]: Type,30000512,6,0.003425,57.142857142857146
Appeal+ [S]: Same School,30000021,5,0.002854,47.61904761904762
Voltage Gain [S]: on AC Success,30000141,5,0.002854,47.61904761904762
Voltage UP [M]: on AC Success / Buddy,30000161,4,0.002283,38.095238095238095
Critical+ [S]: Same Strategy,30000027,4,0.002283,38.095238095238095
Voltage UP [M]: on AC Success / Same School,30000201,3,0.001712,28.571428571428573
Skill Rate+ [S]: Type,30000034,3,0.001712,28.571428571428573
Critical+ [S]: Same Year,30000012,3,0.001712,28.571428571428573
Critical UP [M]: at 80% Remaining / Buddy,30000314,2,0.001142,19.047619047619047
Voltage UP [M]: on AC Success / Type,30000221,2,0.001142,19.047619047619047
Voltage Gain [S]: at Song Start,30000526,1,0.000571,9.523809523809524
