name,skill_id,count,expectation,estimated_weight
Voltage Gain [S]: at Song Start,30000526,199,0.125790,1539.0564578499614
Appeal UP [L]: at 30%,30000395,124,0.078382,959.0100541376644
Appeal UP [L]: on AC Success,30000149,120,0.075853,928.0742459396752
SP Skill UP [S]: at 30%,30000400,119,0.075221,920.3402938901779
Voltage Gain [SP]: at Song Start,30000523,72,0.045512,556.8445475638051
Critical+ [S]: Buddy,30000007,69,0.043616,533.6426914153132
Appeal+ [L]: on AC Success,30000145,69,0.043616,533.6426914153132
Critical+ [S],30000002,55,0.034766,425.3673627223512
Voltage UP [L]: at 80% Remaining,30000301,47,0.029709,363.4957463263728
Voltage UP [S]: at 80% Remaining / All,30000322,45,0.028445,348.0278422273782
Appeal UP [S]: on AC Success / All,30000170,42,0.026549,324.8259860788863
Appeal UP [S]: at 30% / All,30000416,36,0.022756,278.42227378190256
Voltage Gain [MAX]: at Song Start,30000522,30,0.018963,232.0185614849188
Appeal+ [S]: on AC Success / All,30000166,30,0.018963,232.0185614849188
Appeal UP [M]: on AC Success / Same Attribute,30000230,20,0.012642,154.67904098994586
Appeal UP [M]: at 30% / Type,30000466,19,0.012010,146.94508894044858
Appeal UP [M]: at 30% / Same Year,30000426,14,0.008850,108.2753286929621
Appeal UP [M]: at 30% / Same Strategy,30000456,13,0.008217,100.54137664346482
Appeal UP [M]: on AC Success / Type,30000220,13,0.008217,100.54137664346482
Appeal UP [M]: at 30% / Same School,30000446,12,0.007585,92.80742459396751
Appeal UP [M]: on AC Success / Buddy,30000160,10,0.006321,77.33952049497293
Appeal UP [M]: on AC Success / Same School,30000200,10,0.006321,77.33952049497293
Appeal UP [M]: at 30% / Buddy,30000406,9,0.005689,69.60556844547564
Appeal+ [M]: on AC Success / Same Strategy,30000206,8,0.005057,61.87161639597835
Appeal UP [M]: on AC Success / Same Strategy,30000210,8,0.005057,61.87161639597835
Appeal UP [M]: on AC Success / Same Year,30000180,8,0.005057,61.87161639597835
Critical+ [S]: Same Attribute,30000037,7,0.004425,54.13766434648105
Appeal+ [M]: on AC Success / Buddy,30000156,7,0.004425,54.13766434648105
Shield Gain [S]: at 80% Remaining,30000294,6,0.003793,46.403712296983755
Critical+ [S]: All,30000488,6,0.003793,46.403712296983755
Appeal+ [M]: on AC Success / Same School,30000196,6,0.003793,46.403712296983755
Shield Gain [S]: at 30%,30000389,5,0.003161,38.669760247486465
Shield Gain [S]: on AC Success,30000143,5,0.003161,38.669760247486465
Critical+ [M]: Same Year,30000493,5,0.003161,38.669760247486465
Appeal+ [M]: on AC Success / Same Year,30000176,5,0.003161,38.669760247486465
Critical+ [M]: Type,30000513,5,0.003161,38.669760247486465
Appeal UP [M]: at 30% / Same Attribute,30000476,4,0.002528,30.935808197989175
Appeal+ [M]: on AC Success / Type,30000216,4,0.002528,30.935808197989175
Voltage UP [M]: at 80% Remaining / Type,30000372,4,0.002528,30.935808197989175
Voltage UP [M]: at 80% Remaining / Same Attribute,30000382,4,0.002528,30.935808197989175
Voltage UP [M]: at 80% Remaining / Buddy,30000312,4,0.002528,30.935808197989175
Voltage UP [M]: at 80% Remaining / Same Strategy,30000362,4,0.002528,30.935808197989175
Appeal+ [M]: on AC Success / Same Attribute,30000226,3,0.001896,23.201856148491878
Critical+ [L],30000042,2,0.001264,15.467904098994588
Voltage UP [M]: at 80% Remaining / Same Year,30000332,2,0.001264,15.467904098994588
Critical+ [M]: Same School,30000503,2,0.001264,15.467904098994588
Voltage UP [M]: at 80% Remaining / Same School,30000352,2,0.001264,15.467904098994588
