position,count,percentage
1,3313,23.898146%
2,1360,9.810286%
3,1254,9.045661%
4,1282,9.247638%
5,1338,9.651591%
6,1312,9.464041%
7,1330,9.593883%
8,1327,9.572243%
9,1347,9.716512%
