position,count,percentage
1,3517,23.816618%
2,1475,9.988488%
3,1368,9.263899%
4,1344,9.101375%
5,1428,9.670211%
6,1374,9.304530%
7,1458,9.873366%
8,1401,9.487370%
9,1402,9.494142%
