position,count,percentage
1,4211,23.579148%
2,1731,9.692592%
3,1653,9.255837%
4,1767,9.894171%
5,1758,9.843776%
6,1730,9.686993%
7,1638,9.171846%
8,1693,9.479814%
9,1678,9.395823%
