id,1,2,3,4,5,6,7,8,9
111,23.245365,9.635769,9.592148,9.766630,9.592148,9.478735,9.269357,9.648855,9.770992
112,24.715909,8.238636,9.185606,10.132576,8.712121,9.753788,10.416667,10.227273,8.617424
113,21.987952,10.040161,9.939759,9.036145,8.232932,9.236948,10.742972,11.244980,9.538153
114,23.125000,9.910714,10.714286,8.482143,10.000000,8.571429,10.000000,9.464286,9.732143
115,23.204477,9.203026,9.534667,9.700487,9.037206,9.938854,9.513939,9.534667,10.332677
116,25.338895,10.114703,10.636079,9.176225,9.071950,9.489051,8.133472,9.176225,8.863399
117,23.105023,9.497717,10.136986,8.767123,10.136986,10.045662,9.680365,9.680365,8.949772
118,24.876115,8.820614,8.523290,10.406343,9.316155,9.018831,9.514371,11.000991,8.523290
121,25.128733,10.401648,10.092688,10.195675,8.650875,7.106076,8.444902,9.886715,10.092688
122,23.613596,9.554877,9.165527,9.302326,9.596969,9.870567,9.586446,9.860044,9.449647
123,20.833333,9.239130,9.873188,10.778986,9.510870,11.231884,10.235507,8.786232,9.510870
124,23.518344,10.912512,8.278457,11.759172,9.313264,9.219191,8.842897,10.159925,7.996237
125,24.324324,9.226468,8.760485,9.785648,11.090401,8.853681,9.506058,8.574091,9.878844
126,22.287390,10.263930,10.166178,10.361681,9.384164,9.188661,10.166178,8.406647,9.775171
127,23.285024,10.144928,10.338164,9.468599,9.468599,10.048309,8.985507,8.599034,9.661836
128,23.643054,10.027599,8.739650,8.187672,9.475621,9.659614,11.775529,9.475621,9.015639
131,24.369748,10.189076,9.453782,10.189076,8.718487,8.403361,8.928571,9.873950,9.873950
132,21.840355,11.640798,9.423503,7.982262,9.423503,12.084257,11.308204,9.201774,7.095344
133,23.425616,9.441233,9.157286,9.289119,9.775885,9.116722,9.877294,9.907717,10.009127
134,23.124358,10.894142,9.044193,9.866393,9.352518,9.249743,9.558068,10.688592,8.221994
135,26.661060,8.999159,9.419680,8.999159,8.999159,10.260723,8.074012,10.428932,8.158116
136,22.564508,8.557135,9.373354,9.583992,9.715640,9.505003,9.952607,11.032122,9.715640
137,25.344353,8.539945,9.641873,10.009183,9.366391,8.999082,10.192837,8.539945,9.366391
138,23.020258,7.550645,9.484346,9.023941,8.931860,10.681400,10.036832,10.957643,10.313076
141,21.511018,10.912907,9.233998,8.709339,7.764953,11.122770,11.017838,10.178384,9.548793
142,24.618515,10.376399,8.646999,9.257375,8.850458,9.766022,8.646999,10.172940,9.664293
143,22.682446,9.467456,10.650888,10.946746,9.171598,8.284024,10.453649,8.777120,9.566075
144,23.825538,9.507796,9.803322,9.202079,10.068277,9.405890,9.232651,9.293794,9.660654
145,22.475248,8.514851,9.900990,9.306931,10.198020,10.891089,9.009901,10.792079,8.910891
146,24.783028,10.221794,9.161041,8.389585,9.643202,8.678881,9.064609,10.221794,9.836066
