content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2177,1.302033,985.2907897714415
1200,10,4000,1,1820,1.088517,823.7157727992758
1200,10,5000,1,1783,1.066388,806.969902692917
1200,10,3000,1,1546,0.924641,699.7058157954289
1961,12,2,2,787,0.470694,356.18918307309343
1960,12,3,1,775,0.463517,350.7580900656257
1200,10,6000,1,762,0.455742,344.8744059742023
1970,12,3,1,708,0.423445,320.4344874405974
1200,10,7000,1,687,0.410885,310.93007467752886
1971,12,2,2,641,0.383373,290.11088481556914
1920,12,6,1,612,0.366029,276.9857433808554
1921,12,4,2,611,0.365431,276.53315229689974
1950,12,6,1,598,0.357656,270.64946820547635
1951,12,4,2,558,0.333732,252.5458248472505
1952,12,3,3,537,0.321172,243.04141208418193
1922,12,3,3,534,0.319378,241.683638832315
1972,12,2,3,477,0.285287,215.88594704684317
1920,12,8,1,379,0.226675,171.53202081918985
1961,12,3,2,370,0.221292,167.45870106358905
1920,12,7,1,365,0.218301,165.19574564381082
1950,12,8,1,357,0.213517,161.57501697216563
1970,12,5,1,354,0.211722,160.2172437202987
1961,12,4,2,349,0.208732,157.9542883005205
1950,12,7,1,339,0.202751,153.42837746096401
1970,12,4,1,338,0.202153,152.97578637700838
1921,12,5,2,325,0.194378,147.09210228558496
1960,12,4,1,317,0.189593,143.4713736139398
1962,12,2,3,310,0.185407,140.3032360262503
1951,12,6,2,303,0.181220,137.13509843856076
1960,12,5,1,298,0.178230,134.87214301878254
1971,12,3,2,287,0.171651,129.89364109527043
1971,12,4,2,282,0.168660,127.6306856754922
1921,12,6,2,269,0.160885,121.7470015840688
1951,12,5,2,251,0.150120,113.60036207286716
1922,12,5,3,159,0.095096,71.96198234894773
1922,12,4,3,153,0.091507,69.24643584521385
1952,12,4,3,151,0.090311,68.34125367730256
1952,12,5,3,142,0.084928,64.26793392170174
1962,12,3,3,115,0.068780,52.0479746548993
1972,12,3,3,109,0.065191,49.332428151165416
1962,12,4,3,88,0.052632,39.82801538809685
1972,12,4,3,72,0.043062,32.586558044806516
