content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2166,1.344507,1016.8059337151442
1100,4,2500,1,1801,1.117939,845.460520138954
1100,4,3000,1,1793,1.112973,841.7050042249554
1100,4,2000,1,1434,0.890130,673.1762275842644
1960,12,3,1,744,0.461825,349.26298000187774
1961,12,2,2,731,0.453755,343.1602666416299
1970,12,3,1,715,0.443824,335.6492348136325
1100,4,3500,1,707,0.438858,331.8937188996338
1100,4,5000,1,700,0.434513,328.607642474885
1971,12,2,2,655,0.406580,307.4828654586424
1920,12,6,1,572,0.355059,268.519387850906
1921,12,4,2,556,0.345127,261.0083560229087
1950,12,6,1,552,0.342644,259.13059806590934
1922,12,3,3,550,0.341403,258.19171908740964
1952,12,3,3,530,0.328988,248.8029293024129
1951,12,4,2,507,0.314711,238.0058210496667
1970,12,4,1,396,0.245810,185.89803774293492
1970,12,5,1,373,0.231533,175.10092949018872
1972,12,2,3,373,0.231533,175.10092949018872
1961,12,3,2,360,0.223464,168.99821612994086
1950,12,8,1,357,0.221601,167.58989766219136
1950,12,7,1,352,0.218498,165.24270021594216
1920,12,8,1,336,0.208566,157.7316683879448
1920,12,7,1,332,0.206083,155.85391043094546
1961,12,4,2,317,0.196772,148.81231809219793
1951,12,5,2,301,0.186840,141.30128626420054
1921,12,5,2,297,0.184358,139.42352830720122
1951,12,6,2,289,0.179392,135.6680123932025
1960,12,5,1,275,0.170701,129.09585954370482
1962,12,2,3,267,0.165736,125.34034362970613
1921,12,6,2,253,0.157045,118.76819078020843
1971,12,4,2,252,0.156425,118.29875129095859
1971,12,3,2,250,0.155183,117.35987231245892
1960,12,4,1,247,0.153321,115.95155384470942
1952,12,5,3,154,0.095593,72.29368134447469
1922,12,5,3,150,0.093110,70.41592338747536
1952,12,4,3,137,0.085040,64.3132100272275
1922,12,4,3,136,0.084420,63.84377053797766
1962,12,4,3,114,0.070764,53.51610177448127
1962,12,3,3,110,0.068281,51.63834381748193
1972,12,3,3,89,0.055245,41.78011454323538
1972,12,4,3,72,0.044693,33.79964322598817
