content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,8100,1.314295,995.5507485066739
1200,10,5000,1,6786,1.101087,834.0502937489246
1200,10,4000,1,6741,1.093785,828.5194562572208
1200,10,3000,1,5440,0.882687,668.6167989970749
1200,10,6000,1,2726,0.442317,335.04584449743123
1200,10,7000,1,2701,0.438261,331.97315700204024
1920,12,6,1,2152,0.349181,264.4969396032546
1950,12,6,1,2113,0.342853,259.7035471104447
1922,12,3,3,2066,0.335226,253.92689461910967
1951,12,4,2,2058,0.333928,252.94363462058453
1952,12,3,3,2022,0.328087,248.51896462722155
1921,12,4,2,1945,0.315593,239.05508714141737
12301,12,3,1,1548,0.251176,190.26080971460877
12201,12,3,1,1547,0.251014,190.13790221479314
12101,12,3,1,1547,0.251014,190.13790221479314
12401,12,3,1,1526,0.247607,187.55684471866473
1920,12,7,1,1400,0.227162,172.07049974189425
1950,12,8,1,1354,0.219698,166.41675475037488
1920,12,8,1,1349,0.218887,165.80221725129667
1950,12,7,1,1316,0.213532,161.74626975738062
1951,12,5,2,1137,0.184488,139.74582729038127
1921,12,6,2,1124,0.182379,138.14802979277795
1921,12,5,2,1106,0.179458,135.93569479609644
1951,12,6,2,1088,0.176537,133.72335979941496
12402,12,2,2,965,0.156580,118.6057373220914
12102,12,2,2,956,0.155119,117.49956982375063
12302,12,2,2,954,0.154795,117.25375482411937
12202,12,2,2,911,0.147818,111.9687323320469
12204,12,2,4,901,0.146195,110.7396573338905
12203,12,2,3,880,0.142788,108.1585998377621
12104,12,2,4,862,0.139867,105.9462648410806
12403,12,2,3,859,0.139380,105.57754234163369
12303,12,2,3,855,0.138731,105.08591234237113
12304,12,2,4,852,0.138244,104.71718984292421
12103,12,2,3,839,0.136135,103.1193923453209
12404,12,2,4,817,0.132565,100.41542734937686
1952,12,4,3,564,0.091514,69.31982989602025
1952,12,5,3,556,0.090216,68.33656989749515
1922,12,5,3,521,0.084537,64.0348074039478
1922,12,4,3,518,0.084050,63.66608490450087
12301,12,5,1,432,0.070096,53.09603992035594
12301,12,4,1,431,0.069933,52.9731324205403
12401,12,5,1,431,0.069933,52.9731324205403
12101,12,4,1,420,0.068149,51.62114992256828
12201,12,4,1,410,0.066526,50.39207492441189
12101,12,5,1,405,0.065715,49.7775374253337
12201,12,5,1,401,0.065066,49.28590742607114
12401,12,4,1,371,0.060198,45.59868243160198
12402,12,4,2,217,0.035210,26.67092745999361
12202,12,3,2,217,0.035210,26.67092745999361
12302,12,4,2,214,0.034723,26.302204960546693
12202,12,4,2,209,0.033912,25.687667461468497
12102,12,4,2,205,0.033263,25.196037462205943
12402,12,3,2,200,0.032452,24.58149996312775
12403,12,3,3,199,0.032289,24.458592463312108
12203,12,3,3,193,0.031316,23.72114746441828
12102,12,3,2,191,0.030991,23.475332464787
12302,12,3,2,190,0.030829,23.352424964971362
12304,12,4,4,184,0.029856,22.614979966077527
12404,12,4,4,183,0.029693,22.49207246626189
12103,12,4,3,175,0.028395,21.50881246773678
12403,12,4,3,175,0.028395,21.50881246773678
12303,12,4,3,173,0.028071,21.262997468105503
12404,12,3,4,169,0.027422,20.771367468842946
12204,12,3,4,168,0.027259,20.64845996902731
12303,12,3,3,167,0.027097,20.52555246921167
12203,12,4,3,162,0.026286,19.91101497013348
12104,12,3,4,162,0.026286,19.91101497013348
12104,12,4,4,158,0.025637,19.419384970870922
12103,12,3,3,157,0.025475,19.296477471055283
12304,12,3,4,152,0.024663,18.68193997197709
12204,12,4,4,139,0.022554,17.084142474373788
