content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1100,4,3000,1,3340,2.235609,1696.0341238003352
1100,4,2500,1,3233,2.163989,1641.7000964809831
1100,4,2000,1,2693,1.802544,1367.4909866450007
1700,12,2,1,1970,1.318608,1000.3554562534911
1100,4,5000,1,1286,0.860776,653.0239171279134
1100,4,3500,1,1272,0.851406,645.9147920580917
1940,12,6,1,524,0.350736,266.08439547047175
1930,12,6,1,516,0.345382,262.02203828771644
1932,12,3,3,515,0.344712,261.51424363987206
1941,12,4,2,500,0.334672,253.89732392220589
1931,12,4,2,468,0.313253,237.6478951911847
1942,12,3,3,457,0.305890,232.06215406489616
1930,12,8,1,356,0.238286,180.77489463261057
1930,12,7,1,354,0.236948,179.75930533692176
1940,12,7,1,321,0.214859,163.00208195805615
1940,12,8,1,310,0.207497,157.41634083176766
1941,12,5,2,284,0.190094,144.21367998781292
1931,12,5,2,260,0.174029,132.02660843954703
1941,12,6,2,257,0.172021,130.50322449601381
1931,12,6,2,240,0.160643,121.87071548265881
1942,12,5,3,149,0.099732,75.66140252881735
1932,12,4,3,142,0.095047,72.10683999390646
1942,12,4,3,124,0.082999,62.96653633270705
1932,12,5,3,122,0.081660,61.95094703701823
