content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1200,10,5000,1,3652,2.229548,1692.2292757518187
1200,10,4000,1,3642,2.223443,1687.5955701774708
1200,10,3000,1,2895,1.767399,1341.45776377369
1700,12,2,1,2021,1.233822,936.4718965756916
1200,10,7000,1,1476,0.901099,683.9349427737361
1200,10,6000,1,1435,0.876068,664.9367499189102
1950,12,6,1,604,0.368742,279.8758166906075
1952,12,3,3,568,0.346764,263.1944766229554
1920,12,6,1,549,0.335165,254.39043603169452
1921,12,4,2,545,0.332723,252.5369538019554
1951,12,4,2,513,0.313187,237.70909596404246
1922,12,3,3,508,0.310134,235.39224317686853
1920,12,7,1,383,0.233822,177.47092349752097
1920,12,8,1,366,0.223443,169.5936240211297
1950,12,8,1,361,0.220391,167.27677123395577
1950,12,7,1,332,0.202686,153.83902506834715
1921,12,5,2,295,0.180098,136.69431444326028
1951,12,6,2,292,0.178266,135.30420277095592
1951,12,5,2,286,0.174603,132.52397942634724
1921,12,6,2,274,0.167277,126.96353273712988
1922,12,4,3,154,0.094017,71.3590658449562
1952,12,4,3,146,0.089133,67.65210138547796
1952,12,5,3,144,0.087912,66.7253602706084
1922,12,5,3,140,0.085470,64.87187804086928
