content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2151,1.348589,1017.8875638841566
1940,12,6,1,1183,0.741693,559.8144993374976
1930,12,6,1,1101,0.690282,521.0107893242475
1942,12,3,3,1095,0.686520,518.1714934696196
1932,12,3,3,1091,0.684013,516.2786295665342
1931,12,4,2,997,0.625078,471.796327844028
1941,12,4,2,995,0.623824,470.84989589248534
1930,12,7,1,699,0.438245,330.7779670641681
1940,12,7,1,689,0.431975,326.04580730645466
1930,12,8,1,687,0.430721,325.09937535491196
1940,12,8,1,660,0.413793,312.32254400908573
1941,12,6,2,581,0.364263,274.93848192314977
1931,12,5,2,565,0.354232,267.3670263108082
1941,12,5,2,565,0.354232,267.3670263108082
1931,12,6,2,564,0.353605,266.8938103350369
12401,12,3,1,425,0.266458,201.11678970282037
12101,12,3,1,417,0.261442,197.33106189664966
12301,12,3,1,408,0.255799,193.07211811470756
12201,12,3,1,381,0.238871,180.2952867688813
1942,12,4,3,304,0.190596,143.85765663448797
1932,12,5,3,295,0.184953,139.5987128525459
12402,12,2,2,285,0.178683,134.86655309483248
1942,12,5,3,273,0.171160,129.1879613855764
1932,12,4,3,246,0.154232,116.41113003975015
12104,12,2,4,246,0.154232,116.41113003975015
12202,12,2,2,244,0.152978,115.46469808820746
12204,12,2,4,244,0.152978,115.46469808820746
12302,12,2,2,244,0.152978,115.46469808820746
12102,12,2,2,239,0.149843,113.09861820935075
12303,12,2,3,237,0.148589,112.15218625780807
12103,12,2,3,236,0.147962,111.67897028203672
12304,12,2,4,228,0.142947,107.89324247586599
12404,12,2,4,210,0.131661,99.37535491198183
12203,12,2,3,205,0.128527,97.0092750331251
12403,12,2,3,197,0.123511,93.22354722695438
12201,12,5,1,125,0.078370,59.15199697141775
12101,12,4,1,112,0.070219,53.00018928639031
12101,12,5,1,108,0.067712,51.10732538330494
12201,12,4,1,103,0.064577,48.74124550444823
12401,12,4,1,97,0.060815,45.901949649820175
12401,12,5,1,94,0.058934,44.48230172250615
12301,12,5,1,94,0.058934,44.48230172250615
12301,12,4,1,90,0.056426,42.58943781942078
12402,12,4,2,60,0.037618,28.39295854628052
12302,12,4,2,57,0.035737,26.973310618966497
12203,12,3,3,54,0.033856,25.55366269165247
12403,12,3,3,52,0.032602,24.607230740109785
12102,12,4,2,52,0.032602,24.607230740109785
12402,12,3,2,52,0.032602,24.607230740109785
12302,12,3,2,51,0.031975,24.134014764338446
12102,12,3,2,51,0.031975,24.134014764338446
12104,12,4,4,50,0.031348,23.660798788567103
12203,12,4,3,50,0.031348,23.660798788567103
12202,12,3,2,50,0.031348,23.660798788567103
12404,12,4,4,49,0.030721,23.18758281279576
12304,12,4,4,48,0.030094,22.714366837024418
12202,12,4,2,45,0.028213,21.29471890971039
12204,12,3,4,44,0.027586,20.82150293393905
12103,12,3,3,43,0.026959,20.34828695816771
12303,12,3,3,43,0.026959,20.34828695816771
12404,12,3,4,42,0.026332,19.875070982396362
12104,12,3,4,41,0.025705,19.401855006625023
12103,12,4,3,39,0.024451,18.45542305508234
12304,12,3,4,38,0.023824,17.982207079310996
12303,12,4,3,38,0.023824,17.982207079310996
12204,12,4,4,37,0.023197,17.508991103539657
12403,12,4,3,36,0.022571,17.035775127768314
