content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2088,1.320683,1000.6229932429195
1100,4,2500,1,1776,1.123340,851.1046149422533
1100,4,3000,1,1735,1.097407,831.4563665117171
1100,4,2000,1,1300,0.822264,622.9932429194422
1100,4,5000,1,707,0.447185,338.81247903388123
1100,4,3500,1,697,0.440860,334.0202233191163
1950,12,6,1,572,0.361796,274.11702688455455
1932,12,3,3,559,0.353574,267.88709445536017
1940,12,6,1,558,0.352941,267.4078688838837
1952,12,3,3,541,0.342188,259.2610341687833
1922,12,3,3,538,0.340291,257.82335745435375
1930,12,6,1,535,0.338393,256.3856807399243
1931,12,4,2,534,0.337761,255.90645516844776
1942,12,3,3,530,0.335231,253.98955288254183
1951,12,4,2,528,0.333966,253.03110173958882
1920,12,6,1,517,0.327008,247.75962045334737
1921,12,4,2,513,0.324478,245.84271816744143
1941,12,4,2,495,0.313093,237.21665788086455
1950,12,7,1,373,0.235927,178.75113816073224
1930,12,8,1,372,0.235294,178.27191258925575
1920,12,8,1,372,0.235294,178.27191258925575
1940,12,7,1,355,0.224541,170.12507787415535
1940,12,8,1,354,0.223909,169.64585230267886
1930,12,7,1,342,0.216319,163.89514544496095
1950,12,8,1,340,0.215054,162.93669430200796
1920,12,7,1,335,0.211891,160.5405664446255
1931,12,6,2,322,0.203669,154.31063401543105
1951,12,6,2,299,0.189121,143.2884458714717
1921,12,6,2,284,0.179633,136.1000622993243
1931,12,5,2,279,0.176471,133.70393444194184
1921,12,5,2,279,0.176471,133.70393444194184
1951,12,5,2,276,0.174573,132.26625772751234
1941,12,6,2,251,0.158760,120.28561844059999
1941,12,5,2,246,0.155598,117.88949058321752
1932,12,4,3,152,0.096142,72.84228686442708
1932,12,5,3,146,0.092347,69.96693343556812
1922,12,5,3,139,0.087919,66.61235443523266
1952,12,4,3,131,0.082859,62.778549863420714
1942,12,4,3,126,0.079696,60.38242200603825
1922,12,4,3,126,0.079696,60.38242200603825
1942,12,5,3,123,0.077799,58.94474529160876
1952,12,5,3,122,0.077166,58.46551972013227
