content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2154,1.275311,967.8289000718908
1950,12,6,1,1225,0.725281,550.4133716750539
1920,12,6,1,1189,0.703967,534.2379583033788
1921,12,4,2,1132,0.670219,508.62688713156
1951,12,4,2,1102,0.652457,495.1473759884975
1952,12,3,3,1088,0.644168,488.8569374550683
1922,12,3,3,1081,0.640024,485.7117181883537
1920,12,7,1,742,0.439313,333.39324227174694
1950,12,7,1,738,0.436945,331.5959741193386
1950,12,8,1,738,0.436945,331.5959741193386
1920,12,8,1,735,0.435169,330.24802300503234
1910,12,6,1,650,0.384843,292.05607476635515
1921,12,6,2,626,0.370634,281.2724658519051
1951,12,6,2,620,0.367081,278.5765636232926
1921,12,5,2,615,0.364121,276.3299784327822
1951,12,5,2,603,0.357016,270.93817397555716
1900,12,6,1,595,0.352279,267.34363767074046
1901,12,4,2,566,0.335110,254.31344356578
1912,12,3,3,522,0.309059,234.5434938892883
1911,12,4,2,521,0.308467,234.0941768511862
1902,12,3,3,507,0.300178,227.803738317757
1900,12,7,1,398,0.235642,178.82818116462977
1900,12,8,1,386,0.228538,173.43637670740475
1910,12,8,1,382,0.226169,171.6391085549964
1910,12,7,1,367,0.217288,164.89935298346515
1901,12,5,2,321,0.190053,144.23076923076923
1901,12,6,2,318,0.188277,142.88281811646297
1952,12,4,3,307,0.181764,137.94033069734004
1922,12,4,3,304,0.179988,136.5923795830338
1911,12,6,2,294,0.174067,132.09920920201293
1952,12,5,3,289,0.171107,129.8526240115025
1911,12,5,2,273,0.161634,122.66355140186916
1922,12,5,3,255,0.150977,114.57584471603163
1902,12,5,3,173,0.102427,77.73184759166068
1912,12,4,3,151,0.089402,67.8468727534148
1912,12,5,3,148,0.087626,66.49892163910856
1902,12,4,3,141,0.083481,63.35370237239396
