content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2319,1.356140,1026.1970085848307
1100,4,2500,1,1887,1.103509,835.0296486414727
1100,4,3000,1,1811,1.059064,801.3983538366227
1100,4,2000,1,1505,0.880117,665.988140543411
1100,4,5000,1,788,0.460819,348.7034250818657
1961,12,2,2,773,0.452047,342.0656695282768
1960,12,3,1,742,0.433918,328.34764138419325
1100,4,3500,1,736,0.430409,325.6925391627578
1971,12,2,2,727,0.425146,321.70988583060443
1970,12,3,1,702,0.410526,310.64695990795644
12401,12,3,1,439,0.256725,194.26497920169928
1961,12,4,2,423,0.247368,187.18470661120455
12101,12,3,1,422,0.246784,186.7421895742986
1972,12,2,3,412,0.240936,182.3170192052394
12201,12,3,1,407,0.238012,180.1044340207098
12301,12,3,1,405,0.236842,179.21939994689797
1961,12,3,2,399,0.233333,176.56429772546244
1970,12,5,1,382,0.223392,169.04150809806177
1970,12,4,1,339,0.198246,150.01327551110717
1962,12,2,3,312,0.182456,138.06531551464732
12302,12,2,2,295,0.172515,130.54252588724665
1971,12,4,2,293,0.171345,129.65749181343483
1960,12,5,1,292,0.170760,129.2149747765289
1960,12,4,1,276,0.161404,122.13470218603416
12202,12,2,2,276,0.161404,122.13470218603416
12102,12,2,2,273,0.159649,120.8071510753164
1971,12,3,2,268,0.156725,118.5945658907868
12403,12,2,3,256,0.149708,113.28436144791576
12103,12,2,3,253,0.147953,111.95681033719798
12104,12,2,4,247,0.144444,109.30170811576245
12304,12,2,4,244,0.142690,107.9741570050447
12402,12,2,2,243,0.142105,107.53163996813878
12204,12,2,4,239,0.139766,105.76157182051509
12404,12,2,4,238,0.139181,105.31905478360916
12203,12,2,3,224,0.130994,99.12381626692628
12303,12,2,3,219,0.128070,96.91123108239667
12401,12,4,1,127,0.074269,56.19966368705195
12301,12,5,1,124,0.072515,54.87211257633419
12201,12,4,1,118,0.069006,52.21701035489867
1962,12,4,3,117,0.068421,51.77449331799274
12301,12,4,1,114,0.066667,50.44694220727498
1962,12,3,3,110,0.064327,48.6768740596513
12101,12,4,1,109,0.063743,48.23435702274537
12101,12,5,1,105,0.061404,46.46428887512169
12401,12,5,1,103,0.060234,45.57925480130985
1972,12,3,3,97,0.056725,42.924152579874324
12201,12,5,1,90,0.052632,39.82653332153288
1972,12,4,3,76,0.044444,33.631294804849986
12102,12,4,2,65,0.038012,28.763607398884858
12202,12,3,2,62,0.036257,27.436056288167094
12102,12,3,2,61,0.035673,26.993539251261176
12104,12,3,4,60,0.035088,26.551022214355253
12202,12,4,2,59,0.034503,26.108505177449334
12402,12,3,2,58,0.033918,25.665988140543412
12204,12,4,4,55,0.032164,24.33843702982565
12303,12,4,3,55,0.032164,24.33843702982565
12304,12,3,4,54,0.031579,23.89591999291973
12403,12,3,3,53,0.030994,23.453402956013807
12204,12,3,4,53,0.030994,23.453402956013807
12404,12,4,4,52,0.030409,23.010885919107885
12203,12,4,3,51,0.029825,22.568368882201966
12303,12,3,3,49,0.028655,21.683334808390125
12402,12,4,2,49,0.028655,21.683334808390125
12302,12,3,2,49,0.028655,21.683334808390125
12302,12,4,2,48,0.028070,21.240817771484203
12103,12,3,3,46,0.026901,20.35578369767236
12304,12,4,4,46,0.026901,20.35578369767236
12103,12,4,3,46,0.026901,20.35578369767236
12403,12,4,3,45,0.026316,19.91326666076644
12104,12,4,4,44,0.025731,19.47074962386052
12404,12,3,4,42,0.024561,18.585715550048675
12203,12,3,3,40,0.023392,17.700681476236834
