name,id,rarity,sum,expectation
,,1,,"18,417.604236"
Blue Macaron ★1,,1,,5.473197
Red Macaron ★1,,1,,5.221046
Blue Macaron ★2,,2,,3.436135
Red Macaron ★2,,2,,3.246195
School Idol Badge,,1,,2.573130
Blue Macaron ★3,,3,,1.884844
Red Macaron ★3,,3,,1.777631
Guard Type Seed,,1,,1.364659
SP Type Seed,,1,,1.334216
Skill Type Seed,,2,,1.315023
Voltage Type Seed,,1,,1.289212
SP Type Sprout,,2,,0.571145
Voltage Type Sprout,,2,,0.556585
Guard Type Sprout,,2,,0.531436
Skill Type Sprout,,2,,0.528789
SP Type Bud,,3,,0.512905
Voltage Type Bud,,3,,0.509596
Guard Type Bud,,3,,0.496360
Voltage Type Flower,,4,,0.467902
Skill Type Bud,,3,,0.463931
SP Type Flower,,4,,0.443415
Guard Type Flower,,4,,0.440768
Skill Type Flower,,4,,0.430841
