name,id,rarity,sum,expectation
Yellow Macaron ★1,,1,,5.634080
Purple Macaron ★1,,1,,5.271555
Purple Macaron ★2,,2,,3.289885
Yellow Macaron ★2,,2,,3.105906
School Idol Badge,,1,,2.733198
Purple Macaron ★3,,3,,1.750849
Yellow Macaron ★3,,3,,1.741344
SP Type Beginner Book,,1,,1.419552
Skill Type Seed,,2,,1.404616
Guard Type Seed,,1,,1.397828
Voltage Type Seed,,1,,1.328581
SP Type Seed,,1,,1.305499
Voltage Type Beginner Book,,1,,1.298710
Guard Type Beginner Book,,1,,1.264766
Skill Type Beginner Book,,1,,1.254582
Voltage Type Intermediate Book,,2,,0.584521
SP Type Sprout,,2,,0.553293
Guard Type Intermediate Book,,2,,0.539036
Voltage Type Sprout,,2,,0.536320
Guard Type Sprout,,2,,0.533605
Skill Type Sprout,,2,,0.520027
Skill Type Intermediate Book,,2,,0.509844
Voltage Type Advanced Book,,3,,0.505771
SP Type Intermediate Book,,2,,0.501018
Voltage Type Secret Book,,4,,0.501018
SP Type Flower,,4,,0.496266
SP Type Secret Book,,4,,0.490835
Skill Type Flower,,4,,0.489477
Guard Type Flower,,4,,0.488798
Guard Type Secret Book,,4,,0.480652
SP Type Advanced Book,,3,,0.471826
Guard Type Advanced Book,,3,,0.470468
Skill Type Secret Book,,4,,0.470468
Voltage Type Flower,,4,,0.466395
Voltage Type Bud,,3,,0.444671
Skill Type Advanced Book,,3,,0.443313
Skill Type Bud,,3,,0.439240
Guard Type Bud,,3,,0.435845
SP Type Bud,,3,,0.404616
