name,id,rarity,sum,expectation
,,1,,"18,070.903010"
,,1,,"11,415.050167"
School Idol Badge,,1,,2.778595
Guard Type Beginner Book,,1,,1.438796
Skill Type Beginner Book,,1,,1.400000
SP Type Beginner Book,,1,,1.364548
Voltage Type Beginner Book,,1,,1.339799
Guard Type Intermediate Book,,2,,0.557860
SP Type Intermediate Book,,2,,0.540468
Voltage Type Intermediate Book,,2,,0.515719
Skill Type Intermediate Book,,2,,0.491639
Voltage Type Advanced Book,,3,,0.480268
SP Type Advanced Book,,3,,0.478930
Skill Type Secret Book,,4,,0.473579
Guard Type Advanced Book,,3,,0.464883
Voltage Type Secret Book,,4,,0.454181
Guard Type Secret Book,,4,,0.439465
Skill Type Advanced Book,,3,,0.428094
SP Type Secret Book,,4,,0.418060
