name,id,rarity,sum,expectation
Purple Macaron ★1,,1,,5.406038
Yellow Macaron ★1,,1,,5.310536
Yellow Macaron ★2,,2,,3.240912
Purple Macaron ★2,,2,,3.165742
School Idol Badge,,1,,2.677757
Purple Macaron ★3,,3,,1.898953
Yellow Macaron ★3,,3,,1.799754
Guard Type Seed,,1,,1.391251
Voltage Type Beginner Book,,1,,1.376463
Voltage Type Seed,,1,,1.357979
Skill Type Beginner Book,,1,,1.337646
SP Type Seed,,1,,1.334566
SP Type Beginner Book,,1,,1.332717
Guard Type Beginner Book,,1,,1.319162
Skill Type Seed,,2,,1.250154
Skill Type Sprout,,2,,0.597659
Guard Type Intermediate Book,,2,,0.539741
Skill Type Intermediate Book,,2,,0.538509
Voltage Type Sprout,,2,,0.533580
Voltage Type Intermediate Book,,2,,0.521873
SP Type Sprout,,2,,0.520641
SP Type Intermediate Book,,2,,0.510166
Guard Type Sprout,,2,,0.507086
SP Type Secret Book,,4,,0.499692
Voltage Type Secret Book,,4,,0.486753
Voltage Type Flower,,4,,0.486753
Voltage Type Bud,,3,,0.482440
Guard Type Secret Book,,4,,0.480591
Voltage Type Advanced Book,,3,,0.479359
Skill Type Bud,,3,,0.476895
Guard Type Flower,,4,,0.475046
Guard Type Bud,,3,,0.467036
SP Type Flower,,4,,0.459026
SP Type Advanced Book,,3,,0.457794
Skill Type Flower,,4,,0.457178
Guard Type Advanced Book,,3,,0.452249
SP Type Bud,,3,,0.444855
Skill Type Advanced Book,,3,,0.437461
Skill Type Secret Book,,4,,0.433765
