name,id,rarity,sum,expectation
,,1,,"11,649.346609"
Gold Macaron ★1,,1,,3.176105
Silver Macaron ★1,,1,,2.954574
School Idol Badge,,1,,2.662103
Silver Macaron ★2,,2,,2.519602
Gold Macaron ★2,,2,,1.961419
Voltage Type Seed,,1,,1.446173
Skill Type Seed,,2,,1.398258
Guard Type Seed,,1,,1.387057
SP Type Seed,,1,,1.266957
Gold Macaron ★3,,3,,0.858743
Silver Macaron ★3,,3,,0.764779
Guard Type Sprout,,2,,0.574984
Voltage Type Sprout,,2,,0.530180
Skill Type Sprout,,2,,0.527069
SP Type Sprout,,2,,0.515868
Voltage Type Bud,,3,,0.514624
Skill Type Bud,,3,,0.492222
SP Type Flower,,4,,0.483510
Guard Type Flower,,4,,0.483510
Voltage Type Flower,,4,,0.480398
SP Type Bud,,3,,0.461108
Guard Type Bud,,3,,0.452396
Skill Type Flower,,4,,0.430616
