name,id,rarity,sum,expectation
Pink Macaron ★1,,1,,5.516949
Green Macaron ★1,,1,,5.302663
Blue Macaron ★1,,1,,5.277240
Red Macaron ★1,,1,,5.263923
Blue Macaron ★2,,2,,3.354116
Red Macaron ★2,,2,,3.325061
Pink Macaron ★2,,2,,3.293584
Green Macaron ★2,,2,,3.279056
School Idol Badge,,1,,2.656174
Pink Macaron ★3,,3,,1.819613
Red Macaron ★3,,3,,1.746368
Green Macaron ★3,,3,,1.722760
Blue Macaron ★3,,3,,1.708232
Skill Type Seed,,2,,1.383777
Guard Type Seed,,1,,1.338983
Voltage Type Seed,,1,,1.319007
SP Type Seed,,1,,1.308717
Guard Type Sprout,,2,,0.560533
Skill Type Sprout,,2,,0.552663
Voltage Type Sprout,,2,,0.530872
SP Type Sprout,,2,,0.518160
Guard Type Flower,,4,,0.492736
Voltage Type Flower,,4,,0.477603
SP Type Bud,,3,,0.466707
Skill Type Bud,,3,,0.461259
SP Type Flower,,4,,0.460654
Guard Type Bud,,3,,0.457022
Voltage Type Bud,,3,,0.455811
Skill Type Flower,,4,,0.449758
