name,id,rarity,sum,expectation
,,1,,"11,515.414258"
Purple Macaron ★1,,1,,5.560051
Yellow Macaron ★1,,1,,5.533076
Purple Macaron ★2,,2,,3.280668
Yellow Macaron ★2,,2,,3.186898
School Idol Badge,,1,,2.612717
Purple Macaron ★3,,3,,1.830443
Yellow Macaron ★3,,3,,1.782916
Guard Type Beginner Book,,1,,1.421323
Voltage Type Beginner Book,,1,,1.400771
SP Type Beginner Book,,1,,1.386641
Skill Type Beginner Book,,1,,1.332691
Guard Type Intermediate Book,,2,,0.542710
Voltage Type Intermediate Book,,2,,0.535645
Skill Type Advanced Book,,3,,0.506744
Skill Type Intermediate Book,,2,,0.503532
SP Type Intermediate Book,,2,,0.498394
Skill Type Secret Book,,4,,0.482338
Guard Type Secret Book,,4,,0.478484
Voltage Type Secret Book,,4,,0.473988
SP Type Secret Book,,4,,0.459216
Voltage Type Advanced Book,,3,,0.450225
Guard Type Advanced Book,,3,,0.428388
SP Type Advanced Book,,3,,0.423250
