name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.473480
Blue Macaron ★1,,1,,5.431436
Blue Macaron ★2,,2,,3.316947
Gold Macaron ★1,,1,,3.261320
Silver Macaron ★1,,1,,3.180466
Red Macaron ★2,,2,,3.158473
School Idol Badge,,1,,2.689521
Silver Macaron ★2,,2,,2.456662
Gold Macaron ★2,,2,,1.865459
Blue Macaron ★3,,3,,1.844114
Red Macaron ★3,,3,,1.745149
SP Type Beginner Book,,1,,1.379690
Skill Type Beginner Book,,1,,1.361578
Voltage Type Beginner Book,,1,,1.323415
Guard Type Beginner Book,,1,,1.278137
Gold Macaron ★3,,3,,0.828590
Silver Macaron ★3,,3,,0.745796
Skill Type Intermediate Book,,2,,0.602846
Voltage Type Intermediate Book,,2,,0.569858
Guard Type Intermediate Book,,2,,0.545278
SP Type Intermediate Book,,2,,0.501294
Skill Type Advanced Book,,3,,0.472833
SP Type Secret Book,,4,,0.470246
Skill Type Secret Book,,4,,0.465071
Voltage Type Advanced Book,,3,,0.463131
Guard Type Advanced Book,,3,,0.456016
SP Type Advanced Book,,3,,0.440492
Voltage Type Secret Book,,4,,0.435964
Guard Type Secret Book,,4,,0.405563
