name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.424632
Blue Macaron ★1,,1,,5.383578
Red Macaron ★2,,2,,3.321691
Blue Macaron ★2,,2,,3.131127
Gold Macaron ★1,,1,,3.033088
Silver Macaron ★1,,1,,3.030637
School Idol Badge,,1,,2.666667
Silver Macaron ★2,,2,,2.476716
Gold Macaron ★2,,2,,2.064951
Blue Macaron ★3,,3,,1.780025
Red Macaron ★3,,3,,1.719975
SP Type Seed,,1,,1.359681
Guard Type Seed,,1,,1.358456
Skill Type Seed,,2,,1.323529
Voltage Type Seed,,1,,1.258578
Gold Macaron ★3,,3,,0.865809
Silver Macaron ★3,,3,,0.785539
Guard Type Sprout,,2,,0.590686
Voltage Type Sprout,,2,,0.545343
Skill Type Sprout,,2,,0.538603
SP Type Sprout,,2,,0.512255
Guard Type Flower,,4,,0.500613
Skill Type Flower,,4,,0.493873
Voltage Type Bud,,3,,0.469975
Voltage Type Flower,,4,,0.469363
Skill Type Bud,,3,,0.467525
SP Type Bud,,3,,0.441789
Guard Type Bud,,3,,0.438725
SP Type Flower,,4,,0.437500
