name,id,rarity,sum,expectation
Green Macaron ★1,,1,,5.589581
Yellow Macaron ★1,,1,,5.516518
Purple Macaron ★1,,1,,5.421855
Pink Macaron ★1,,1,,5.337992
Green Macaron ★2,,2,,3.320839
Purple Macaron ★2,,2,,3.178526
Yellow Macaron ★2,,2,,3.109276
Pink Macaron ★2,,2,,3.068615
School Idol Badge,,1,,2.601017
Yellow Macaron ★3,,3,,1.879288
Pink Macaron ★3,,3,,1.764930
Purple Macaron ★3,,3,,1.754765
Green Macaron ★3,,3,,1.730623
Guard Type Beginner Book,,1,,1.391995
SP Type Beginner Book,,1,,1.322745
Voltage Type Beginner Book,,1,,1.287166
Skill Type Beginner Book,,1,,1.228081
Skill Type Intermediate Book,,2,,0.572427
Guard Type Intermediate Book,,2,,0.568615
SP Type Intermediate Book,,2,,0.562897
Voltage Type Intermediate Book,,2,,0.554638
Skill Type Advanced Book,,3,,0.514612
Guard Type Advanced Book,,3,,0.489199
Voltage Type Secret Book,,4,,0.480305
SP Type Secret Book,,4,,0.465693
Skill Type Secret Book,,4,,0.465057
Guard Type Secret Book,,4,,0.458069
Voltage Type Advanced Book,,3,,0.451080
SP Type Advanced Book,,3,,0.423761
