name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.428485
Blue Macaron ★1,,1,,5.285455
Red Macaron ★2,,2,,3.341212
Blue Macaron ★2,,2,,3.283636
Voltage Type Beginner Book,,1,,2.755152
SP Type Beginner Book,,1,,2.752121
School Idol Badge,,1,,2.684848
Guard Type Beginner Book,,1,,2.654545
Skill Type Beginner Book,,1,,2.547879
Red Macaron ★3,,3,,1.800606
Blue Macaron ★3,,3,,1.738788
Voltage Type Intermediate Book,,2,,1.121818
Guard Type Intermediate Book,,2,,1.112121
Skill Type Intermediate Book,,2,,1.088485
SP Type Intermediate Book,,2,,1.057576
Voltage Type Secret Book,,4,,1.002424
Guard Type Advanced Book,,3,,0.984242
Guard Type Secret Book,,4,,0.956970
SP Type Secret Book,,4,,0.946061
Skill Type Secret Book,,4,,0.935152
SP Type Advanced Book,,3,,0.929697
Voltage Type Advanced Book,,3,,0.890303
Skill Type Advanced Book,,3,,0.890303
