name,id,rarity,sum,expectation
,,1,,"18,293.135436"
Gold Macaron ★1,,1,,3.350649
Silver Macaron ★1,,1,,2.946197
School Idol Badge,,1,,2.656772
Silver Macaron ★2,,2,,2.451453
Gold Macaron ★2,,2,,1.972789
Guard Type Seed,,1,,1.442795
SP Type Seed,,1,,1.432282
Voltage Type Seed,,1,,1.336425
Skill Type Seed,,2,,1.334570
Gold Macaron ★3,,3,,0.842919
Silver Macaron ★3,,3,,0.791589
Guard Type Sprout,,2,,0.588126
Voltage Type Sprout,,2,,0.542981
SP Type Sprout,,2,,0.533086
Skill Type Sprout,,2,,0.512059
Skill Type Flower,,4,,0.500928
Voltage Type Flower,,4,,0.495980
Guard Type Bud,,3,,0.466914
SP Type Flower,,4,,0.458256
Skill Type Bud,,3,,0.457019
Voltage Type Bud,,3,,0.448361
SP Type Bud,,3,,0.427953
Guard Type Flower,,4,,0.421150
