name,id,rarity,sum,expectation
,,1,,"11,619.550859"
Green Macaron ★1,,1,,5.354029
Pink Macaron ★1,,1,,5.303831
Pink Macaron ★2,,2,,3.371863
Green Macaron ★2,,2,,3.169749
School Idol Badge,,1,,2.673712
Pink Macaron ★3,,3,,1.775429
Green Macaron ★3,,3,,1.770145
Voltage Type Beginner Book,,1,,1.372523
SP Type Beginner Book,,1,,1.329590
Skill Type Beginner Book,,1,,1.313738
Guard Type Beginner Book,,1,,1.282034
Skill Type Intermediate Book,,2,,0.599736
SP Type Intermediate Book,,2,,0.552180
Voltage Type Intermediate Book,,2,,0.538970
Guard Type Intermediate Book,,2,,0.537649
Skill Type Advanced Book,,3,,0.505284
Guard Type Secret Book,,4,,0.499339
SP Type Advanced Book,,3,,0.490092
Voltage Type Advanced Book,,3,,0.479524
SP Type Secret Book,,4,,0.477543
Skill Type Secret Book,,4,,0.466314
Voltage Type Secret Book,,4,,0.444518
Guard Type Advanced Book,,3,,0.436592
