name,id,rarity,sum,expectation
Yellow Macaron ★1,,1,,5.556962
Purple Macaron ★1,,1,,5.547635
Blue Macaron ★1,,1,,5.386409
Red Macaron ★1,,1,,5.247169
Red Macaron ★2,,2,,3.307795
Purple Macaron ★2,,2,,3.265157
Blue Macaron ★2,,2,,3.167222
Yellow Macaron ★2,,2,,3.159893
School Idol Badge,,1,,2.674217
Purple Macaron ★3,,3,,1.786809
Red Macaron ★3,,3,,1.735510
Yellow Macaron ★3,,3,,1.714191
Blue Macaron ★3,,3,,1.668221
Voltage Type Beginner Book,,1,,1.436376
Skill Type Beginner Book,,1,,1.387742
SP Type Beginner Book,,1,,1.307129
Guard Type Beginner Book,,1,,1.258494
Voltage Type Intermediate Book,,2,,0.542305
SP Type Intermediate Book,,2,,0.538308
Guard Type Secret Book,,4,,0.531646
Skill Type Intermediate Book,,2,,0.526316
Guard Type Intermediate Book,,2,,0.512991
SP Type Advanced Book,,3,,0.495670
SP Type Secret Book,,4,,0.481679
Skill Type Advanced Book,,3,,0.479680
Voltage Type Advanced Book,,3,,0.475017
Skill Type Secret Book,,4,,0.462358
Voltage Type Secret Book,,4,,0.445703
Guard Type Advanced Book,,3,,0.442372
