name,id,rarity,sum,expectation
,,1,,"18,257.537688"
,,1,,"11,501.570352"
School Idol Badge,,1,,2.653266
SP Type Seed,,1,,1.399497
Voltage Type Seed,,1,,1.366206
Guard Type Seed,,1,,1.309045
Skill Type Seed,,2,,1.288317
Voltage Type Sprout,,2,,0.587940
Skill Type Sprout,,2,,0.566583
SP Type Sprout,,2,,0.542085
Guard Type Sprout,,2,,0.520101
Skill Type Flower,,4,,0.511935
Guard Type Flower,,4,,0.501884
Skill Type Bud,,3,,0.490578
SP Type Bud,,3,,0.484925
Guard Type Bud,,3,,0.461055
SP Type Flower,,4,,0.449121
Voltage Type Bud,,3,,0.435930
Voltage Type Flower,,4,,0.433417
