name,id,rarity,sum,expectation
Yellow Macaron ★1,,1,,5.588235
Purple Macaron ★1,,1,,5.245711
Yellow Macaron ★2,,2,,3.323529
Gold Macaron ★1,,1,,3.111520
Purple Macaron ★2,,2,,3.094975
Silver Macaron ★1,,1,,3.085172
School Idol Badge,,1,,2.703431
Silver Macaron ★2,,2,,2.405025
Gold Macaron ★2,,2,,1.981618
Purple Macaron ★3,,3,,1.804534
Yellow Macaron ★3,,3,,1.735294
SP Type Seed,,1,,1.387255
Skill Type Seed,,2,,1.349877
Guard Type Seed,,1,,1.254289
Voltage Type Seed,,1,,1.245098
Silver Macaron ★3,,3,,0.833946
Gold Macaron ★3,,3,,0.818627
Guard Type Sprout,,2,,0.588235
Voltage Type Sprout,,2,,0.552083
SP Type Sprout,,2,,0.547181
Skill Type Sprout,,2,,0.520221
SP Type Bud,,3,,0.512868
Skill Type Bud,,3,,0.509191
SP Type Flower,,4,,0.485907
Guard Type Bud,,3,,0.470588
Voltage Type Bud,,3,,0.459559
Guard Type Flower,,4,,0.456495
Voltage Type Flower,,4,,0.441789
Skill Type Flower,,4,,0.405025
