name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.475858
Blue Macaron ★1,,1,,5.212333
Blue Macaron ★2,,2,,3.360093
Red Macaron ★2,,2,,3.286213
Gold Macaron ★1,,1,,3.265852
Silver Macaron ★1,,1,,3.002909
School Idol Badge,,1,,2.663176
Silver Macaron ★2,,2,,2.433973
Gold Macaron ★2,,2,,2.015707
Blue Macaron ★3,,3,,1.806283
Red Macaron ★3,,3,,1.764980
Guard Type Beginner Book,,1,,1.444444
Voltage Type Beginner Book,,1,,1.374636
Skill Type Beginner Book,,1,,1.369401
SP Type Beginner Book,,1,,1.268179
Gold Macaron ★3,,3,,0.842350
Silver Macaron ★3,,3,,0.741129
SP Type Intermediate Book,,2,,0.576498
Skill Type Intermediate Book,,2,,0.513089
Guard Type Secret Book,,4,,0.507853
Voltage Type Intermediate Book,,2,,0.501454
Voltage Type Advanced Book,,3,,0.500291
Guard Type Intermediate Book,,2,,0.492728
Skill Type Advanced Book,,3,,0.490401
Voltage Type Secret Book,,4,,0.469459
SP Type Secret Book,,4,,0.457243
Guard Type Advanced Book,,3,,0.443863
Skill Type Secret Book,,4,,0.443863
SP Type Advanced Book,,3,,0.436300
