name,id,rarity,sum,expectation
Gold Macaron ★1,,1,,3.328264
Silver Macaron ★1,,1,,2.943599
Guard Type Seed,,1,,2.759823
SP Type Seed,,1,,2.758555
Skill Type Seed,,2,,2.684411
Voltage Type Seed,,1,,2.593156
School Idol Badge,,1,,2.556401
Silver Macaron ★2,,2,,2.432193
Gold Macaron ★2,,2,,1.928390
Guard Type Sprout,,2,,1.198986
Skill Type Sprout,,2,,1.171736
Voltage Type Sprout,,2,,1.046261
Voltage Type Flower,,4,,1.036755
SP Type Sprout,,2,,1.013942
Skill Type Flower,,4,,0.970215
Voltage Type Bud,,3,,0.939163
SP Type Flower,,4,,0.930292
SP Type Bud,,3,,0.911280
Gold Macaron ★3,,3,,0.901141
Guard Type Flower,,4,,0.882129
Guard Type Bud,,3,,0.882129
Silver Macaron ★3,,3,,0.828264
Skill Type Bud,,3,,0.825095
