name,id,rarity,sum,expectation
Pink Macaron ★1,,1,,5.436246
Green Macaron ★1,,1,,5.367638
Purple Macaron ★1,,1,,5.311974
Yellow Macaron ★1,,1,,5.300324
Green Macaron ★2,,2,,3.338511
Purple Macaron ★2,,2,,3.298382
Gold Macaron ★1,,1,,3.258900
Yellow Macaron ★2,,2,,3.201294
Pink Macaron ★2,,2,,3.106149
Silver Macaron ★1,,1,,3.007120
School Idol Badge,,1,,2.695146
Silver Macaron ★2,,2,,2.402589
Gold Macaron ★2,,2,,1.892557
Yellow Macaron ★3,,3,,1.889968
Purple Macaron ★3,,3,,1.833010
Pink Macaron ★3,,3,,1.798058
Green Macaron ★3,,3,,1.713916
Gold Macaron ★3,,3,,0.880906
Silver Macaron ★3,,3,,0.840777
