name,id,rarity,sum,expectation
,,1,,"11,470.553592"
School Idol Badge,,1,,2.585395
SP Type Beginner Book,,1,,1.412839
Voltage Type Seed,,1,,1.411072
Guard Type Seed,,1,,1.400471
Skill Type Seed,,2,,1.376325
SP Type Seed,,1,,1.373969
Guard Type Beginner Book,,1,,1.371614
Skill Type Beginner Book,,1,,1.359835
Voltage Type Beginner Book,,1,,1.314488
Guard Type Sprout,,2,,0.555948
SP Type Sprout,,2,,0.551826
Guard Type Intermediate Book,,2,,0.549470
SP Type Intermediate Book,,2,,0.544170
Skill Type Intermediate Book,,2,,0.543581
Skill Type Sprout,,2,,0.531802
SP Type Secret Book,,4,,0.518846
Voltage Type Sprout,,2,,0.502945
Guard Type Bud,,3,,0.497055
Guard Type Advanced Book,,3,,0.495878
Voltage Type Advanced Book,,3,,0.488221
Skill Type Secret Book,,4,,0.486455
SP Type Flower,,4,,0.473498
SP Type Bud,,3,,0.468787
Voltage Type Bud,,3,,0.459953
SP Type Advanced Book,,3,,0.458186
Voltage Type Secret Book,,4,,0.457597
Voltage Type Intermediate Book,,2,,0.455830
Guard Type Flower,,4,,0.448763
Voltage Type Flower,,4,,0.446996
Skill Type Advanced Book,,3,,0.444641
Guard Type Secret Book,,4,,0.439340
Skill Type Flower,,4,,0.439340
Skill Type Bud,,3,,0.425206
