name,id,rarity,sum,expectation
,,1,,"11,459.944751"
Purple Macaron ★1,,1,,5.264503
Yellow Macaron ★1,,1,,5.225138
Yellow Macaron ★2,,2,,3.323895
Purple Macaron ★2,,2,,3.313536
School Idol Badge,,1,,2.660221
Purple Macaron ★3,,3,,1.866022
Yellow Macaron ★3,,3,,1.831492
Skill Type Beginner Book,,1,,1.391575
Voltage Type Beginner Book,,1,,1.348757
Guard Type Beginner Book,,1,,1.340470
SP Type Beginner Book,,1,,1.333564
Guard Type Intermediate Book,,2,,0.565608
Skill Type Intermediate Book,,2,,0.517956
SP Type Intermediate Book,,2,,0.504144
Voltage Type Intermediate Book,,2,,0.502762
Voltage Type Advanced Book,,3,,0.495166
Skill Type Advanced Book,,3,,0.486188
Voltage Type Secret Book,,4,,0.482735
Skill Type Secret Book,,4,,0.477901
SP Type Secret Book,,4,,0.475138
Guard Type Advanced Book,,3,,0.474448
Guard Type Secret Book,,4,,0.468232
SP Type Advanced Book,,3,,0.437155
