name,id,rarity,sum,expectation
Green Macaron ★1,,1,,11.086444
Pink Macaron ★1,,1,,10.986902
Pink Macaron ★2,,2,,6.424361
Green Macaron ★2,,2,,6.384414
Green Macaron ★3,,3,,3.708579
Pink Macaron ★3,,3,,3.587426
School Idol Badge,,1,,2.605108
Skill Type Seed,,2,,1.411264
Voltage Type Seed,,1,,1.388343
SP Type Seed,,1,,1.375900
Guard Type Seed,,1,,1.324820
Guard Type Sprout,,2,,0.555337
SP Type Sprout,,2,,0.542240
Voltage Type Sprout,,2,,0.537656
Skill Type Sprout,,2,,0.529797
Guard Type Bud,,3,,0.492469
Skill Type Flower,,4,,0.485265
Voltage Type Bud,,3,,0.481336
Guard Type Flower,,4,,0.470203
SP Type Flower,,4,,0.461035
Voltage Type Flower,,4,,0.460380
SP Type Bud,,3,,0.457105
Skill Type Bud,,3,,0.421742
