name,id,rarity,sum,expectation
,,1,,"18,180.088776"
Gold Macaron ★1,,1,,3.263792
Silver Macaron ★1,,1,,2.872543
School Idol Badge,,1,,2.644261
Silver Macaron ★2,,2,,2.450222
Gold Macaron ★2,,2,,1.995561
SP Type Seed,,1,,1.424223
Voltage Type Seed,,1,,1.412809
Guard Type Seed,,1,,1.351300
Skill Type Seed,,2,,1.253012
Gold Macaron ★3,,3,,0.859226
Silver Macaron ★3,,3,,0.779328
Voltage Type Sprout,,2,,0.537096
SP Type Bud,,3,,0.519975
Skill Type Sprout,,2,,0.514902
SP Type Sprout,,2,,0.502854
Guard Type Sprout,,2,,0.499683
Guard Type Bud,,3,,0.490171
SP Type Flower,,4,,0.484464
Voltage Type Flower,,4,,0.482562
Voltage Type Bud,,3,,0.471782
Skill Type Flower,,4,,0.460368
Guard Type Flower,,4,,0.458465
Skill Type Bud,,3,,0.436906
