name,id,rarity,sum,expectation
,,1,,"11,427.773901"
Purple Macaron ★1,,1,,5.467551
Yellow Macaron ★1,,1,,5.443126
Yellow Macaron ★2,,2,,3.299372
Purple Macaron ★2,,2,,3.256106
School Idol Badge,,1,,2.775994
Yellow Macaron ★3,,3,,1.823447
Purple Macaron ★3,,3,,1.741103
Skill Type Seed,,2,,1.419400
SP Type Seed,,1,,1.376134
Guard Type Seed,,1,,1.366364
Voltage Type Seed,,1,,1.311235
Skill Type Sprout,,2,,0.602931
Voltage Type Sprout,,2,,0.551291
Skill Type Flower,,4,,0.518493
SP Type Sprout,,2,,0.512212
SP Type Bud,,3,,0.503838
Voltage Type Flower,,4,,0.478018
Guard Type Sprout,,2,,0.473133
Voltage Type Bud,,3,,0.461968
Skill Type Bud,,3,,0.456385
Guard Type Bud,,3,,0.443126
Guard Type Flower,,4,,0.431263
SP Type Flower,,4,,0.408234
