name,id,rarity,sum,expectation
Purple Macaron ★1,,1,,10.990701
Yellow Macaron ★1,,1,,10.497210
Yellow Macaron ★2,,2,,6.484811
Purple Macaron ★2,,2,,6.386857
Yellow Macaron ★3,,3,,3.752635
Purple Macaron ★3,,3,,3.624303
School Idol Badge,,1,,2.619963
Skill Type Seed,,2,,1.391816
Voltage Type Seed,,1,,1.386237
SP Type Seed,,1,,1.362678
Guard Type Seed,,1,,1.319281
Guard Type Sprout,,2,,0.560446
SP Type Sprout,,2,,0.553007
Skill Type Sprout,,2,,0.541847
Voltage Type Sprout,,2,,0.522009
SP Type Flower,,4,,0.502170
Guard Type Bud,,3,,0.491011
SP Type Bud,,3,,0.481091
Guard Type Flower,,4,,0.476131
Voltage Type Bud,,3,,0.470552
Skill Type Bud,,3,,0.460632
Voltage Type Flower,,4,,0.451333
Skill Type Flower,,4,,0.405456
