name,id,rarity,sum,expectation
Green Macaron ★1,,1,,5.409293
Yellow Macaron ★1,,1,,5.377467
Purple Macaron ★1,,1,,5.360917
Pink Macaron ★1,,1,,5.308721
Green Macaron ★2,,2,,3.358370
Yellow Macaron ★2,,2,,3.233609
Pink Macaron ★2,,2,,3.202419
Purple Macaron ★2,,2,,3.183959
School Idol Badge,,1,,2.672183
Green Macaron ★3,,3,,1.891789
Purple Macaron ★3,,3,,1.811585
Pink Macaron ★3,,3,,1.809039
Yellow Macaron ★3,,3,,1.761299
Skill Type Beginner Book,,1,,1.411203
Guard Type Beginner Book,,1,,1.366009
SP Type Beginner Book,,1,,1.301719
Voltage Type Beginner Book,,1,,1.283896
Guard Type Intermediate Book,,2,,0.549968
SP Type Intermediate Book,,2,,0.530872
Skill Type Intermediate Book,,2,,0.520687
Voltage Type Intermediate Book,,2,,0.501591
Skill Type Advanced Book,,3,,0.490134
Guard Type Advanced Book,,3,,0.481222
Guard Type Secret Book,,4,,0.464672
SP Type Secret Book,,4,,0.462126
Skill Type Secret Book,,4,,0.459580
SP Type Advanced Book,,3,,0.457670
Voltage Type Advanced Book,,3,,0.455761
Voltage Type Secret Book,,4,,0.441757
