name,id,rarity,sum,expectation
Blue Macaron ★1,,1,,5.701818
Red Macaron ★1,,1,,5.544848
Purple Macaron ★1,,1,,5.411515
Yellow Macaron ★1,,1,,5.349697
Purple Macaron ★2,,2,,3.369697
Red Macaron ★2,,2,,3.230909
Blue Macaron ★2,,2,,3.186667
Yellow Macaron ★2,,2,,3.045455
School Idol Badge,,1,,2.612121
Purple Macaron ★3,,3,,1.855758
Blue Macaron ★3,,3,,1.787273
Yellow Macaron ★3,,3,,1.773333
Red Macaron ★3,,3,,1.713333
SP Type Seed,,1,,1.391515
Voltage Type Seed,,1,,1.367273
Skill Type Seed,,2,,1.364848
Guard Type Seed,,1,,1.302424
Guard Type Sprout,,2,,0.583030
Voltage Type Sprout,,2,,0.547273
Guard Type Flower,,4,,0.535152
Skill Type Sprout,,2,,0.523030
SP Type Sprout,,2,,0.518788
SP Type Flower,,4,,0.518182
Skill Type Bud,,3,,0.486667
Voltage Type Bud,,3,,0.467879
Skill Type Flower,,4,,0.464242
Guard Type Bud,,3,,0.461818
SP Type Bud,,3,,0.420606
Voltage Type Flower,,4,,0.417576
