name,id,rarity,sum,expectation
,,1,,"18,120.678408"
,,1,,"11,515.655577"
School Idol Badge,,1,,2.669276
Guard Type Seed,,1,,1.422048
Voltage Type Seed,,1,,1.419439
SP Type Seed,,1,,1.317025
Skill Type Seed,,2,,1.280496
Skill Type Sprout,,2,,0.583170
Guard Type Sprout,,2,,0.555121
Voltage Type Sprout,,2,,0.526419
SP Type Sprout,,2,,0.517286
Voltage Type Bud,,3,,0.514677
SP Type Flower,,4,,0.483366
Skill Type Bud,,3,,0.470972
Skill Type Flower,,4,,0.457273
Guard Type Flower,,4,,0.434442
Voltage Type Flower,,4,,0.422048
Guard Type Bud,,3,,0.421396
SP Type Bud,,3,,0.414220
