name,id,rarity,sum,expectation
Gold Macaron ★1,,1,,6.505099
Silver Macaron ★1,,1,,5.915918
Silver Macaron ★2,,2,,4.958693
Gold Macaron ★2,,2,,3.931300
School Idol Badge,,1,,2.618562
Gold Macaron ★3,,3,,1.672399
Silver Macaron ★3,,3,,1.573885
Guard Type Beginner Book,,1,,1.412202
Voltage Type Beginner Book,,1,,1.349378
Skill Type Beginner Book,,1,,1.333391
SP Type Beginner Book,,1,,1.328120
Skill Type Intermediate Book,,2,,0.556689
Guard Type Intermediate Book,,2,,0.554096
Voltage Type Intermediate Book,,2,,0.550639
SP Type Intermediate Book,,2,,0.545627
Guard Type Advanced Book,,3,,0.476409
Skill Type Advanced Book,,3,,0.472779
Voltage Type Advanced Book,,3,,0.468286
SP Type Advanced Book,,3,,0.464742
Skill Type Secret Book,,4,,0.464224
Voltage Type Secret Book,,4,,0.459298
SP Type Secret Book,,4,,0.457743
Guard Type Secret Book,,4,,0.454027
