name,id,rarity,sum,expectation
,,1,,"18,250.000000"
Pink Macaron ★1,,1,,5.622047
Green Macaron ★1,,1,,5.396325
Pink Macaron ★2,,2,,3.359580
Green Macaron ★2,,2,,3.106955
School Idol Badge,,1,,2.614173
Green Macaron ★3,,3,,1.847113
Pink Macaron ★3,,3,,1.720472
Voltage Type Beginner Book,,1,,1.438976
SP Type Beginner Book,,1,,1.368110
Guard Type Beginner Book,,1,,1.366142
Skill Type Beginner Book,,1,,1.278215
SP Type Intermediate Book,,2,,0.580709
Skill Type Intermediate Book,,2,,0.557743
Guard Type Intermediate Book,,2,,0.535433
Guard Type Secret Book,,4,,0.492126
Skill Type Advanced Book,,3,,0.476378
Voltage Type Intermediate Book,,2,,0.475066
Voltage Type Advanced Book,,3,,0.465223
SP Type Advanced Book,,3,,0.465223
Voltage Type Secret Book,,4,,0.459318
SP Type Secret Book,,4,,0.456693
Guard Type Advanced Book,,3,,0.450787
Skill Type Secret Book,,4,,0.444226
