name,id,rarity,sum,expectation
,,1,,"18,262.124002"
Yellow Macaron ★1,,1,,5.416820
Purple Macaron ★1,,1,,5.335175
Purple Macaron ★2,,2,,3.310006
Yellow Macaron ★2,,2,,3.217311
School Idol Badge,,1,,2.618785
Purple Macaron ★3,,3,,1.803560
Yellow Macaron ★3,,3,,1.706568
Skill Type Beginner Book,,1,,1.387968
Voltage Type Beginner Book,,1,,1.341928
SP Type Beginner Book,,1,,1.330264
Guard Type Beginner Book,,1,,1.270104
Voltage Type Intermediate Book,,2,,0.600982
Skill Type Intermediate Book,,2,,0.552486
SP Type Intermediate Book,,2,,0.532228
Skill Type Advanced Book,,3,,0.512584
Guard Type Advanced Book,,3,,0.505218
Voltage Type Advanced Book,,3,,0.490485
Guard Type Intermediate Book,,2,,0.488643
Voltage Type Secret Book,,4,,0.462861
SP Type Secret Book,,4,,0.459177
Guard Type Secret Book,,4,,0.453039
Skill Type Secret Book,,4,,0.438920
SP Type Advanced Book,,3,,0.420503
