name,id,rarity,sum,expectation
,,1,,"11,571.835443"
Gold Macaron ★1,,1,,3.418987
Silver Macaron ★1,,1,,2.904430
School Idol Badge,,1,,2.621519
Silver Macaron ★2,,2,,2.486076
Gold Macaron ★2,,2,,1.908861
Guard Type Beginner Book,,1,,1.455063
Voltage Type Beginner Book,,1,,1.432278
Skill Type Beginner Book,,1,,1.358228
SP Type Beginner Book,,1,,1.314557
Silver Macaron ★3,,3,,0.862025
Gold Macaron ★3,,3,,0.773418
SP Type Intermediate Book,,2,,0.591772
Voltage Type Intermediate Book,,2,,0.570886
Skill Type Intermediate Book,,2,,0.552532
Guard Type Intermediate Book,,2,,0.508861
Guard Type Advanced Book,,3,,0.487342
SP Type Advanced Book,,3,,0.472152
Voltage Type Secret Book,,4,,0.462658
Guard Type Secret Book,,4,,0.458861
Skill Type Secret Book,,4,,0.456962
Voltage Type Advanced Book,,3,,0.455696
SP Type Secret Book,,4,,0.427848
Skill Type Advanced Book,,3,,0.407595
