name,id,rarity,sum,expectation
Red Macaron ★1,,1,,5.448639
Blue Macaron ★1,,1,,5.383663
Red Macaron ★2,,2,,3.350866
Blue Macaron ★2,,2,,3.256807
Guard Type Beginner Book,,1,,2.801980
Voltage Type Beginner Book,,1,,2.707302
School Idol Badge,,1,,2.701733
Skill Type Beginner Book,,1,,2.675124
SP Type Beginner Book,,1,,2.551980
Red Macaron ★3,,3,,1.764851
Blue Macaron ★3,,3,,1.750619
Voltage Type Intermediate Book,,2,,1.095916
Skill Type Intermediate Book,,2,,1.088490
SP Type Intermediate Book,,2,,1.068688
Guard Type Intermediate Book,,2,,1.050124
Voltage Type Secret Book,,4,,0.996287
Guard Type Secret Book,,4,,0.991955
SP Type Advanced Book,,3,,0.979579
Skill Type Advanced Book,,3,,0.945545
SP Type Secret Book,,4,,0.934406
Voltage Type Advanced Book,,3,,0.922649
Skill Type Secret Book,,4,,0.891708
Guard Type Advanced Book,,3,,0.891089
