name,id,rarity,sum,expectation
Blue Macaron ★1,,1,,5.612092
Red Macaron ★1,,1,,5.544158
Pink Macaron ★1,,1,,5.447690
Green Macaron ★1,,1,,5.434783
Gold Macaron ★1,,1,,3.348505
Pink Macaron ★2,,2,,3.275815
Blue Macaron ★2,,2,,3.152853
Red Macaron ★2,,2,,3.148777
Green Macaron ★2,,2,,3.113451
Silver Macaron ★1,,1,,2.841712
School Idol Badge,,1,,2.663043
Silver Macaron ★2,,2,,2.498641
Gold Macaron ★2,,2,,1.922554
Red Macaron ★3,,3,,1.842391
Blue Macaron ★3,,3,,1.832201
Green Macaron ★3,,3,,1.815897
Pink Macaron ★3,,3,,1.723505
Gold Macaron ★3,,3,,0.867527
Silver Macaron ★3,,3,,0.785326
