name,id,rarity,sum,expectation
Pink Macaron ★1,,1,,5.375000
Green Macaron ★1,,1,,5.320896
Pink Macaron ★2,,2,,3.345771
Green Macaron ★2,,2,,3.302861
School Idol Badge,,1,,2.682836
Green Macaron ★3,,3,,1.787313
Pink Macaron ★3,,3,,1.741915
SP Type Beginner Book,,1,,1.450871
Voltage Type Seed,,1,,1.382463
SP Type Seed,,1,,1.371269
Guard Type Beginner Book,,1,,1.337065
Skill Type Seed,,2,,1.333955
Voltage Type Beginner Book,,1,,1.317786
Skill Type Beginner Book,,1,,1.289801
Guard Type Seed,,1,,1.281095
Guard Type Intermediate Book,,2,,0.555970
Voltage Type Intermediate Book,,2,,0.554726
Guard Type Sprout,,2,,0.548507
SP Type Sprout,,2,,0.547886
Skill Type Intermediate Book,,2,,0.530473
Skill Type Sprout,,2,,0.528607
SP Type Intermediate Book,,2,,0.503731
Voltage Type Secret Book,,4,,0.498756
Guard Type Flower,,4,,0.494403
Skill Type Bud,,3,,0.489428
Voltage Type Sprout,,2,,0.487562
SP Type Advanced Book,,3,,0.482587
Voltage Type Bud,,3,,0.482587
Voltage Type Flower,,4,,0.478234
Guard Type Advanced Book,,3,,0.474502
Guard Type Bud,,3,,0.460821
Skill Type Secret Book,,4,,0.458333
Skill Type Advanced Book,,3,,0.453980
Voltage Type Advanced Book,,3,,0.450871
Guard Type Secret Book,,4,,0.444652
SP Type Flower,,4,,0.444030
SP Type Secret Book,,4,,0.440920
Skill Type Flower,,4,,0.435323
SP Type Bud,,3,,0.424751
