name,id,rarity,sum,expectation
Purple Macaron ★1,,1,,5.689327
Green Macaron ★1,,1,,5.646760
Yellow Macaron ★1,,1,,5.297967
Pink Macaron ★1,,1,,5.222363
Purple Macaron ★2,,2,,3.308767
Yellow Macaron ★2,,2,,3.275095
Pink Macaron ★2,,2,,3.273189
Green Macaron ★2,,2,,3.249682
School Idol Badge,,1,,2.677255
Pink Macaron ★3,,3,,1.838628
Green Macaron ★3,,3,,1.766201
Yellow Macaron ★3,,3,,1.750953
Purple Macaron ★3,,3,,1.749047
Voltage Type Seed,,1,,1.481576
Guard Type Seed,,1,,1.357687
SP Type Seed,,1,,1.283355
Skill Type Seed,,2,,1.270648
Guard Type Sprout,,2,,0.537484
Guard Type Bud,,3,,0.529225
Skill Type Sprout,,2,,0.525413
SP Type Sprout,,2,,0.519060
Voltage Type Sprout,,2,,0.490470
SP Type Flower,,4,,0.486023
SP Type Bud,,3,,0.477764
Skill Type Bud,,3,,0.475858
Guard Type Flower,,4,,0.469504
Skill Type Flower,,4,,0.456798
Voltage Type Flower,,4,,0.454257
Voltage Type Bud,,3,,0.451080
