name,id,rarity,sum,expectation
,,1,,"18,204.379562"
Purple Macaron ★1,,1,,5.557178
Yellow Macaron ★1,,1,,5.256691
Purple Macaron ★2,,2,,3.287713
Yellow Macaron ★2,,2,,3.265207
School Idol Badge,,1,,2.647202
Purple Macaron ★3,,3,,1.875912
Yellow Macaron ★3,,3,,1.717153
Voltage Type Beginner Book,,1,,1.381995
Skill Type Beginner Book,,1,,1.356448
Guard Type Beginner Book,,1,,1.322993
SP Type Beginner Book,,1,,1.294404
Guard Type Intermediate Book,,2,,0.549878
SP Type Intermediate Book,,2,,0.538321
Voltage Type Intermediate Book,,2,,0.527981
Skill Type Intermediate Book,,2,,0.517032
SP Type Secret Book,,4,,0.509732
Skill Type Secret Book,,4,,0.504866
Voltage Type Secret Book,,4,,0.499392
Guard Type Advanced Book,,3,,0.487835
Voltage Type Advanced Book,,3,,0.485401
Skill Type Advanced Book,,3,,0.479927
Guard Type Secret Book,,4,,0.478102
SP Type Advanced Book,,3,,0.471411
