name,id,rarity,sum,expectation
Blue Macaron ★1,,1,,5.592914
Red Macaron ★1,,1,,5.324657
Red Macaron ★2,,2,,3.409255
Gold Macaron ★1,,1,,3.224873
Blue Macaron ★2,,2,,3.061461
Silver Macaron ★1,,1,,2.852495
School Idol Badge,,1,,2.633406
Silver Macaron ★2,,2,,2.391179
Gold Macaron ★2,,2,,2.044107
Red Macaron ★3,,3,,1.789588
Blue Macaron ★3,,3,,1.723789
Skill Type Beginner Book,,1,,1.516269
Guard Type Beginner Book,,1,,1.394794
Voltage Type Beginner Book,,1,,1.329718
SP Type Beginner Book,,1,,1.328995
Gold Macaron ★3,,3,,0.948662
Silver Macaron ★3,,3,,0.805495
SP Type Intermediate Book,,2,,0.582791
Guard Type Intermediate Book,,2,,0.574837
Voltage Type Advanced Book,,3,,0.501808
Voltage Type Secret Book,,4,,0.500362
Skill Type Intermediate Book,,2,,0.499638
Guard Type Advanced Book,,3,,0.491685
SP Type Advanced Book,,3,,0.487346
Guard Type Secret Book,,4,,0.472885
Voltage Type Intermediate Book,,2,,0.460593
Skill Type Secret Book,,4,,0.456255
SP Type Secret Book,,4,,0.451916
Skill Type Advanced Book,,3,,0.430224
