name,id,rarity,sum,expectation
,,1,,"18,105.227427"
,,1,,"11,591.310251"
School Idol Badge,,1,,2.640869
Voltage Type Beginner Book,,1,,1.369314
Skill Type Beginner Book,,1,,1.366599
Guard Type Beginner Book,,1,,1.328581
SP Type Beginner Book,,1,,1.317719
Skill Type Intermediate Book,,2,,0.591989
Voltage Type Intermediate Book,,2,,0.575017
Guard Type Intermediate Book,,2,,0.547183
SP Type Intermediate Book,,2,,0.513238
Skill Type Secret Book,,4,,0.484046
Skill Type Advanced Book,,3,,0.478615
Guard Type Secret Book,,4,,0.470468
SP Type Advanced Book,,3,,0.468432
Voltage Type Advanced Book,,3,,0.458927
SP Type Secret Book,,4,,0.452138
Voltage Type Secret Book,,4,,0.448065
Guard Type Advanced Book,,3,,0.440597
